"importId";"partnerTypeSelect";"name";"firstName";"registrationCode";"partnerCategory";"industrySector";"fixedPhone";"mobilePhone";"mainAddress";"emailAddress";"isContact"
135;2;"CHARLES";"Jeannot";;;;"01.87.59.46.99";"07.72.53.10.99";940;"j.charles@bourgeois-industries.fr";"true"
136;1;"ESL Banking";;;"SME";2;"01.38.33.50.99";;950;"contact@esl-banking.fr";"false"
137;2;"GUILLOT";"Kévin";;;;"01.73.34.26.99";"06.63.55.39.99";950;"k.guillot@esl-banking.fr";"true"
138;2;"NOEL";"Jean Nicolas";;;;"01.13.96.92.99";"07.44.77.73.99";950;"j.noel@esl-banking.fr";"true"
139;2;"MEUNIER";"Paul";;;;"01.22.82.15.99";"07.67.21.50.99";950;"p.meunier@esl-banking.fr";"true"
148;1;"TOP Components";;;"SME";9;"+86 21 5198 9999";;2004;"contact@top-components.com";"false"
149;2;"ZHANG";"Annie";;;;"+86 21 5198 9999";"+86 139 1658 8799";2004;"a.zhang@top-components.com";"true"
152;1;"SILVER Electronics";;;"SME";9;"+86 755 8396 9999";;2006;"contact@silverelec.com";"false"
153;2;"LI";"Yang";;;;"+86 755 8396 9999";"+86 138 2479 7599";2006;"y.li@silverelec.com";"true"
170;1;"SASAKI Components";;;"SME";16;"+81 3 5850 9999";;6001;"info@sasaki-components.com";"false"
171;2;"SASAKI";"Amaya";;;;"+81 3 5850 9999";"+81 90 5136 7506";6001;"a.sasaki@sasaki-components.com";"true"
185;1;"DE KIMPE Engineering";;;"SME";3;"+32 2 234 99 99";;1002;"contact@dekimpe-eng.com";"false"
186;2;"DE KIMPE";"Joos";;;;"+32 2 234 99 99";32495680999;1002;"j.de kimpe@dekimpe-eng.com";"true"
197;1;"DG Technologies";;;"SME";16;"+31 20 530 79 99";;8002;"info@dg-technologies.com";"false"
198;2;"DE GROOT";"Matthijs";;;;"+31 20 530 79 99";"+31 (0)6 51 59 69 99";8002;"m.de groot@dg-technologies.com";"true"
205;1;"AZ Inno";;;"SME";7;"+49 89 17301999";;3002;"info@azinno.com";"false"
206;2;"MULLER";"Jan";;;;"+49 89 17301999";"+49 175 5440999";3002;"j.muller@azinno.com";"true"
224;1;"WM Cinetics";;;"SME";17;"+1 415 490 2999";;10010;"contact@wm-cinetics.com";"false"
225;2;"WILSON";"Charles";;;;"+1 415 490 2999";"+1 415 780 2999";10010;"c.wilson@wm-cinetics.com";"true"
237;1;"TGM Consulting";;;"SME";13;"01.73.66.77.99";;75001;"info@tgm-consulting.com";"false"
238;2;"THOMPSON";"Kenneth";;;;"01.73.66.77.99";;75001;"k.thompson@tgm-consulting.com";"true"
239;2;"GARCIA";"Steven";;;;"01.73.66.77.99";;75001;"s.garcia@tgm-consulting.com";"true"
240;2;"MARTINEZ";"Edward";;;;"01.73.66.77.99";;10019;"e.martinez@tgm-consulting.com";"true"
1012;2;"PICARD";"Anna";;"INDIV";;"03.79.67.80.99";"06.45.25.47.99";671;"a.picard@msn.com";"false"
1033;2;"MEYER";"Philippe";;"INDIV";;"01.52.66.34.99";"07.31.30.96.99";75019;"p.meyer@yahoo.com";"false"
1039;2;"MITCHELL";"Sandra";;"INDIV";;"+44 151 227 8999";;4008;"s.mitchell@yahoo.com";"false"
1045;2;"PARKER";"Laura";;"INDIV";;"+1 305 507 7799";;10027;"l.parker@msn.com";"false"
90000;1;"Axelor";;;"SME";;"01.83.64.06.50";;90000;"info@axelor.com";"false"
90001;2;"MARQUES";"Yoann";;;;"01.10.79.99.70";;90000;"y.marques@axelor.com";"true"
90002;2;"ROBERT";"Lucy";;;;"01.10.79.99.71";;90000;"l.robert@axelor.com";"true"
90003;2;"RICHARD";"Lucas";;;;"01.10.79.99.72";;90000;"l.richard@axelor.com";"true"
90004;2;"SILVA";"Daniel";;;;"01.10.79.99.76";;90000;"d.silva@axelor.com";"true"
90005;2;"MARTIN";"Charles";;;;"01.10.79.99.78";;90000;"c.martin@axelor.com";"true"
90006;2;"DEMOERP";"Kevin";;;;"01.10.79.99.76";;90000;"k.demoerp@axelor.com";"true"
90007;2;"DEMOCRM";"Charles";;;;"01.10.79.99.77";;90001;"c.democrm@axelor.com";"true"
90008;2;"RAYMOND";"Tony";;;;"01.10.79.99.78";;90003;"t.raymond@axelor.com";"true"
90009;2;"LAMY";"Thomas";;;;"01.10.79.99.79";;90002;"t.lamy@axelor.com";"true"
90010;2;"GIRAULT";"Anne";;;;"01.10.79.99.80";;90004;"a.girault@axelor.com";"true"
90011;2;"GEOFFROY";"Dimitri";;;;"01.10.79.99.81";;90000;"d.geoffroy@axelor.com";"true"
90012;2;"DAVID";"Alex";;;;"01.10.79.99.82";;90000;"a.david@axelor.com";"true"
90013;2;"ANDRE";"William";;;;"01.10.79.99.83";;90000;"w.andre@axelor.com";"true"
90014;2;"MAURIN";"David";;;;"01.10.79.99.86";;90000;"d.maurin@axelor.com";"true"
90015;2;"MARCHAL";"Cyril";;;;"01.10.79.99.87";;90000;"c.marchal@axelor.com";"true"
90016;2;"COSTA";"Robin";;;;"01.10.79.99.88";;90000;"r.costa@axelor.com";"true"
90017;2;"COLIN";"Romane";;;;"01.10.79.99.89";;90000;"r.colin@axelor.com";"true"
90018;2;"LOUIS";"Victoria";;;;"01.10.79.99.90";;90000;"v.louis@axelor.com";"true"
90019;2;"Admin";;;;;"01.10.79.99.90";;90000;;"true"
90020;2;"Demo";;;;;"01.10.79.99.90";;90000;;"true"
90021;1;"IFactor";"IFactor";;"SME";22;"01.10.79.99.91";;90000;"info@ifactor.com";"false"
