"importId";"partnerTypeSelect";"isContact";"isCustomer";"isSupplier";"name";"firstName";"fullName";"titleSelect";"languageSelect";"address";"email";"fixedPhone";"mobilePhone";"invoiceSendingFormatSelect";"paymentMode.importId";"paymentCondition.importId";"partnerCategory.code";"currency.code";"blocking.importId";"rejectCounter";"companySet_importId";"customerAccount_code";"supplierAccount_code";"mainPartner_importId";"customerTypeSelect";"supplierTypeSelect";"industrySector.importId";"user.importId";"team.importId";"source.id";"fiscalPosition.importId";"picture_fileName"
1039;2;"false";"true";"true";"MITCHELL";"Sandra";"MITCHELL Sandra";2;"en";4008;"s.mitchell@yahoo.com";"+44 151 227 8999";;"email";8;5;"INDIV";"USD";;;1;411100;401100;;2;;;13;3;12;2;"img/partner/1039_128px_fr.png"
1045;2;"false";"true";"true";"PARKER";"Laura";"PARKER Laura";2;"en";10027;"l.parker@msn.com";"+1 305 507 7799";;"email";8;5;"INDIV";"USD";;;1;411100;401100;;2;;;13;3;11;2;"img/partner/1045_128px_fr.png"
90000;1;"false";"true";"true";"Axelor";;"Axelor";;"fr";90000;"info@axelor.com";"01.83.64.06.50";;"emailpaper";6;6;"SME";"EUR";;;1;411100;401100;;1;1;;;;;;"img/partner/90000_128px_fr.png"
90001;2;"true";"false";"false";"MARQUES";"Yoann";"MARQUES Yoann";1;"fr";90000;"y.marques@axelor.com";"01.10.79.99.70";;;;;;;;;1;;;90000;;;;;;;;
90002;2;"true";"false";"false";"ROBERT";"Lucy";"ROBERT Lucy";2;"fr";90000;"l.robert@axelor.com";"01.10.79.99.71";;;;;;;;;1;;;90000;;;;;;;;
90003;2;"true";"false";"false";"RICHARD";"Lucas";"RICHARD Lucas";1;"fr";90000;"l.richard@axelor.com";"01.10.79.99.72";;;;;;;;;1;;;90000;;;;;;;;
90004;2;"true";"false";"false";"SILVA";"Daniel";"SILVA Daniel";1;"fr";90000;"d.silva@axelor.com";"01.10.79.99.76";;;;;;;;;1;;;90000;;;;;;;;
90005;2;"true";"false";"false";"MARTIN";"Charles";"MARTIN Charles";1;"fr";90000;"c.martin@axelor.com";"01.10.79.99.78";;;;;;;;;1;;;90000;;;;;;;;
90006;2;"true";"false";"false";"DEMOERP";"Kevin";"DEMOERP Kevin";1;"fr";90000;"k.demoerp@axelor.com";"01.10.79.99.76";;;;;;;;;1;;;90000;;;;;;;;
90007;2;"true";"false";"false";"DEMOCRM";"Charles";"DEMOCRM Charles";1;"fr";90001;"c.democrm@axelor.com";"01.10.79.99.77";;;;;;;;;1;;;90000;;;;;;;;
90008;2;"true";"false";"false";"RAYMOND";"Tony";"RAYMOND Tony";1;"fr";90003;"t.raymond@axelor.com";"01.10.79.99.78";;;;;;;;;1;;;90000;;;;;;;;
90009;2;"true";"false";"false";"LAMY";"Thomas";"LAMY Thomas";1;"fr";90002;"t.lamy@axelor.com";"01.10.79.99.79";;;;;;;;;1;;;90000;;;;;;;;
90010;2;"true";"false";"false";"GIRAULT";"Anne";"GIRAULT Anne";2;"fr";90004;"a.girault@axelor.com";"01.10.79.99.80";;;;;;;;;1;;;90000;;;;;;;;
90011;2;"true";"false";"false";"GEOFFROY";"Dimitri";"GEOFFROY Dimitri";1;"fr";90000;"d.geoffroy@axelor.com";"01.10.79.99.81";;;;;;;;;1;;;90000;;;;;;;;
90012;2;"true";"false";"false";"DAVID";"Alex";"DAVID Alex";1;"fr";90000;"a.david@axelor.com";"01.10.79.99.82";;;;;;;;;1;;;90000;;;;;;;;
90013;2;"true";"false";"false";"ANDRE";"William";"ANDRE William";1;"fr";90000;"w.andre@axelor.com";"01.10.79.99.83";;;;;;;;;1;;;90000;;;;;;;;
90014;2;"true";"false";"false";"MAURIN";"David";"MAURIN David";1;"fr";90000;"d.maurin@axelor.com";"01.10.79.99.86";;;;;;;;;1;;;90000;;;;;;;;
90015;2;"true";"false";"false";"MARCHAL";"Cyril";"MARCHAL Cyril";1;"fr";90000;"c.marchal@axelor.com";"01.10.79.99.87";;;;;;;;;1;;;90000;;;;;;;;
90016;2;"true";"false";"false";"COSTA";"Robin";"COSTA Robin";1;"fr";90000;"r.costa@axelor.com";"01.10.79.99.88";;;;;;;;;1;;;90000;;;;;;;;
90017;2;"true";"false";"false";"COLIN";"Romane";"COLIN Romane";2;"fr";90000;"r.colin@axelor.com";"01.10.79.99.89";;;;;;;;;1;;;90000;;;;;;;;
90018;2;"true";"false";"false";"LOUIS";"Victoria";"LOUIS Victoria";2;"fr";90000;"v.louis@axelor.com";"01.10.79.99.90";;;;;;;;;1;;;90000;;;;;;;;
