"importId";"partnerTypeSelect";"isContact";"isCustomer";"isSupplier";"isEmployee";"isFactor";"name";"firstName";"titleSelect";"languageCode";"address";"email";"fixedPhone";"mobilePhone";"invoiceSendingFormatSelect";"inPaymentMode.importId";"outPaymentMode.importId";"paymentCondition.importId";"partnerCategory.code";"currency.code";"blocking.importId";"rejectCounter";"companySet_importId";"customerAccount_code";"supplierAccount_code";"mainPartner_importId";"customerTypeSelect";"supplierTypeSelect";"industrySector.importId";"user.importId";"team.importId";"source.id";"fiscalPosition.importId";"picture_fileName";"invoicesCopySelect";"factorizedCustomer"
77;1;"false";"true";"true";"false";"false";"GERARD Solutions";;;"fr";330;"contact@gerard-solutions.fr";"05.22.62.48.99";;"emailpaper";8;15;2;"SME";"EUR";;;1;411100;401100;;2;1;4;12;2;12;;"img/partner/77_128px_fr.png";1;
78;2;"true";"false";"false";"false";"false";"GERARD";"Fabrice";1;"fr";330;"f.gerard@gerard-solutions.fr";"05.12.44.47.99";"06.90.75.97.99";;8;14;;;;;;1;;;77;;;;;;;;"img/partner/1033_128px_fr.png";2;
79;2;"true";"false";"false";"false";"false";"NGUYEN";"Xavier";1;"fr";330;"x.nguyen@gerard-solutions.fr";"05.57.53.68.99";"06.97.90.53.99";;6;14;;;;;;1;;;77;;;;;;;;"img/partner/1033_128px_fr.png";1;
88;1;"false";"true";"true";"false";"false";"123 Services";;;"fr";590;"contact@123-services.fr";"03.35.52.63.99";;"emailpaper";6;14;2;"SME";"EUR";;;1;411100;401100;;3;2;7;9;1;1;;"img/partner/88_120px_fr.png";2;"true"
89;2;"true";"false";"false";"false";"false";"ROGER";"Jean Marc";1;"fr";590;"j.roger@123-services.fr";"03.83.87.87.99";"06.75.77.83.99";;6;14;;;;;;1;;;88;;;;;;;;"img/partner/1033_128px_fr.png";1;
90;2;"true";"false";"false";"false";"false";"ROCHE";"Dominique";1;"fr";590;"d.roche@123-services.fr";"03.47.63.91.99";"07.42.32.10.99";;6;14;;;;;;1;;;88;;;;;;;;"img/partner/1033_128px_fr.png";2;
91;2;"true";"false";"false";"false";"false";"ROY";"Thierry";1;"fr";590;"t.roy@123-services.fr";"03.50.79.78.99";"06.64.23.62.99";;6;14;;;;;;1;;;88;;;;;;;;"img/partner/1033_128px_fr.png";1;
132;1;"false";"true";"true";"false";"false";"BOURGEOIS INDUSTRIE";;;"fr";940;"info@bourgeois-industries.fr";"01.97.37.77.99";;"emailpaper";6;14;2;"SME";"EUR";;;1;411100;401100;;2;1;17;8;3;2;;"img/partner/132_120px_fr.png";2;
133;2;"true";"false";"false";"false";"false";"BOURGEOIS";"Luc";1;"fr";940;"l.bourgeois@bourgeois-industries.fr";"01.42.72.29.99";"06.86.42.41.99";;6;14;;;;;;1;;;132;;;;;;;;"img/partner/1033_128px_fr.png";1;
134;2;"true";"false";"false";"false";"false";"ARAFI";"Zohra";2;"fr";940;"z.arafi@bourgeois-industries.fr";"01.72.29.71.99";"06.43.52.92.99";;6;14;;;;;;1;;;132;;;;;;;;"img/partner/1012_128px_fr.png";2;
135;2;"true";"false";"false";"false";"false";"CHARLES";"Jeannot";1;"fr";940;"j.charles@bourgeois-industries.fr";"01.87.59.46.99";"07.72.53.10.99";;6;14;;;;;;1;;;132;;;;;;;;"img/partner/1033_128px_fr.png";1;
136;1;"false";"true";"true";"false";"false";"ESL Banking";;;"fr";950;"contact@esl-banking.fr";"01.38.33.50.99";;"emailpaper";6;14;2;"SME";"EUR";;;1;411100;401100;;2;1;2;8;3;5;;"img/partner/136_120px_fr.png";2;
137;2;"true";"false";"false";"false";"false";"GUILLOT";"Kévin";1;"fr";950;"k.guillot@esl-banking.fr";"01.73.34.26.99";"06.63.55.39.99";;6;14;;;;;;1;;;136;;;;;;;;"img/partner/1033_128px_fr.png";1;
138;2;"true";"false";"false";"false";"false";"NOEL";"Jean Nicolas";1;"fr";950;"j.noel@esl-banking.fr";"01.13.96.92.99";"07.44.77.73.99";;6;14;;;;;;1;;;136;;;;;;;;"img/partner/1033_128px_fr.png";2;
139;2;"true";"false";"false";"false";"false";"MEUNIER";"Paul";1;"fr";950;"p.meunier@esl-banking.fr";"01.22.82.15.99";"07.67.21.50.99";;6;14;;;;;;1;;;136;;;;;;;;"img/partner/1033_128px_fr.png";1;
148;1;"false";"true";"true";"false";"false";"TOP Components";;;"en";2004;"contact@top-components.com";"+86 21 5198 9999";;"emailpaper";8;15;5;"SME";"USD";;;1;411100;401100;;1;2;9;;;5;2;"img/partner/148_128px_fr.png";2;
149;2;"true";"false";"false";"false";"false";"ZHANG";"Annie";2;"en";2004;"a.zhang@top-components.com";"+86 21 5198 9999";"+86 139 1658 8799";;8;15;;;;;;1;;;148;;;;;;;;"img/partner/1012_128px_fr.png";1;"true"
152;1;"false";"true";"true";"false";"false";"SILVER Electronics";;;"en";2006;"contact@silverelec.com";"+86 755 8396 9999";;"emailpaper";8;15;5;"SME";"USD";;;1;411100;401100;;1;2;9;;;2;2;"img/partner/152_128px_fr.png";2;
153;2;"true";"false";"false";"false";"false";"LI";"Yang";1;"en";2006;"y.li@silverelec.com";"+86 755 8396 9999";"+86 138 2479 7599";;8;15;;;;;;1;;;152;;;;;;;;"img/partner/1033_128px_fr.png";1;
170;1;"false";"true";"true";"false";"false";"SASAKI Components";;;"en";6001;"info@sasaki-components.com";"+81 3 5850 9999";;"emailpaper";8;15;5;"SME";"USD";;;1;411100;401100;;1;2;16;;;12;2;"img/partner/170_128px_fr.png";2;
171;2;"true";"false";"false";"false";"false";"SASAKI";"Amaya";1;"en";6001;"a.sasaki@sasaki-components.com";"+81 3 5850 9999";"+81 90 5136 7506";;8;15;;;;;;1;;;170;;;;;;;;"img/partner/1012_128px_fr.png";1;
185;1;"false";"true";"true";"false";"false";"DE KIMPE Engineering";;;"en";1002;"contact@dekimpe-eng.com";"+32 2 234 99 99";;"emailpaper";8;15;5;"SME";"EUR";;;1;411100;401100;;1;2;3;;;8;1;"img/partner/185_120px_fr.png";2;
186;2;"true";"false";"false";"false";"false";"DE KIMPE";"Joos";1;"en";1002;"j.de kimpe@dekimpe-eng.com";"+32 2 234 99 99";32495680999;;8;15;;;;;;1;;;185;;;;;;;;"img/partner/1033_128px_fr.png";1;
197;1;"false";"true";"true";"false";"false";"DG Technologies";;;"en";8002;"info@dg-technologies.com";"+31 20 530 79 99";;"emailpaper";8;15;5;"SME";"EUR";;;1;411100;401100;;2;1;16;13;3;10;1;"img/partner/197_120px_fr.png";2;
198;2;"true";"false";"false";"false";"false";"DE GROOT";"Matthijs";1;"en";8002;"m.de groot@dg-technologies.com";"+31 20 530 79 99";"+31 (0)6 51 59 69 99";;8;15;;;;;;1;;;197;;;;;;;;"img/partner/1033_128px_fr.png";1;
205;1;"false";"true";"true";"false";"false";"AZ Inno";;;"en";3002;"info@azinno.com";"+49 89 17301999";;"emailpaper";8;15;5;"SME";"EUR";;;1;411100;401100;;2;1;7;13;3;1;1;"img/partner/205_120px_fr.png";2;
206;2;"true";"false";"false";"false";"false";"MULLER";"Jan";1;"en";3002;"j.muller@azinno.com";"+49 89 17301999";"+49 175 5440999";;8;15;;;;;;1;;;205;;;;;;;;"img/partner/1033_128px_fr.png";1;
224;1;"false";"true";"true";"false";"false";"WM Cinetics";;;"en";10010;"contact@wm-cinetics.com";"+1 415 490 2999";;"emailpaper";8;15;5;"SME";"USD";;;1;411100;401100;;2;1;17;13;3;6;2;"img/partner/224_128px_fr.png";2;
225;2;"true";"false";"false";"false";"false";"WILSON";"Charles";1;"en";10010;"c.wilson@wm-cinetics.com";"+1 415 490 2999";"+1 415 780 2999";;8;15;;;;;;1;;;224;;;;;;;;"img/partner/1033_128px_fr.png";1;
237;1;"false";"true";"true";"false";"false";"TGM Consulting";;;"fr";75001;"info@tgm-consulting.com";"01.73.66.77.99";;"emailpaper";8;15;5;"SME";"EUR";;;1;411100;401100;;1;2;13;8;3;7;2;"img/partner/237_128px_fr.png";2;
238;2;"true";"false";"false";"false";"false";"THOMPSON";"Kenneth";1;"en";75001;"k.thompson@tgm-consulting.com";"01.73.66.77.99";;;8;15;;;;;;1;;;237;;;;;;;;"img/partner/1033_128px_fr.png";1;
239;2;"true";"false";"false";"false";"false";"GARCIA";"Steven";1;"en";75001;"s.garcia@tgm-consulting.com";"01.73.66.77.99";;;8;15;;;;;;1;;;237;;;;;;;;"img/partner/1033_128px_fr.png";2;
240;2;"true";"false";"false";"false";"false";"MARTINEZ";"Edward";1;"en";10019;"e.martinez@tgm-consulting.com";"01.73.66.77.99";;;8;15;;;;;;1;;;237;;;;;;;;"img/partner/1033_128px_fr.png";1;"true"
1012;2;"false";"true";"true";"false";"false";"PICARD";"Anna";2;"fr";671;"a.picard@msn.com";"03.79.67.80.99";"06.45.25.47.99";"email";4;15;2;"INDIV";"EUR";;;1;411100;401100;;2;;;9;1;8;;"img/partner/1012_128px_fr.png";2;
1033;2;"false";"true";"true";"false";"false";"MEYER";"Philippe";1;"fr";75019;"p.meyer@yahoo.com";"01.52.66.34.99";"07.31.30.96.99";"email";5;15;2;"INDIV";"EUR";;;1;411100;401100;;2;;;8;3;9;;"img/partner/1033_128px_fr.png";1;
1039;2;"false";"true";"true";"false";"false";"MITCHELL";"Sandra";2;"en";4008;"s.mitchell@yahoo.com";"+44 151 227 8999";;"email";8;15;5;"INDIV";"USD";;;1;411100;401100;;2;;;13;3;12;2;"img/partner/1039_128px_fr.png";2;
1045;2;"false";"true";"true";"false";"false";"PARKER";"Laura";2;"en";10027;"l.parker@msn.com";"+1 305 507 7799";;"email";8;15;5;"INDIV";"USD";;;1;411100;401100;;2;;;13;3;11;2;"img/partner/1045_128px_fr.png";1;
90000;1;"false";"true";"true";"false";"false";"Axelor";;;"fr";90000;"info@axelor.com";"01.83.64.06.50";;"emailpaper";6;15;6;"SME";"EUR";;;1;411100;401100;;1;1;;;;;;"img/partner/90000_128px_fr.png";2;
90001;2;"true";"false";"false";"true";"false";"MARQUES";"Yoann";1;"fr";90000;"y.marques@axelor.com";"01.10.79.99.70";;;6;15;;;;;;1;;;90000;;;;;;;;"img/partner/1033_128px_fr.png";1;
90002;2;"true";"false";"false";"true";"false";"ROBERT";"Lucy";2;"fr";90000;"l.robert@axelor.com";"01.10.79.99.71";;;6;15;;;;;;1;;;90000;;;;;;;;"img/partner/1012_128px_fr.png";2;
90003;2;"true";"false";"false";"true";"false";"RICHARD";"Lucas";1;"fr";90000;"l.richard@axelor.com";"01.10.79.99.72";;;6;15;;;;;;1;;;90000;;;;;;;;"img/partner/1033_128px_fr.png";1;
90004;2;"true";"false";"false";"true";"false";"SILVA";"Daniel";1;"fr";90000;"d.silva@axelor.com";"01.10.79.99.76";;;6;15;;;;;;1;;;90000;;;;;;;;"img/partner/1033_128px_fr.png";2;
90005;2;"true";"false";"false";"true";"false";"MARTIN";"Charles";1;"fr";90000;"c.martin@axelor.com";"01.10.79.99.78";;;6;15;;;;;;1;;;90000;;;;;;;;"img/partner/1033_128px_fr.png";1;
90006;2;"true";"false";"false";"true";"false";"DEMOERP";"Kevin";1;"fr";90000;"k.demoerp@axelor.com";"01.10.79.99.76";;;6;15;;;;;;1;;;90000;;;;;;;;"img/partner/1033_128px_fr.png";2;
90007;2;"true";"false";"false";"true";"false";"DEMOCRM";"Charles";1;"fr";90001;"c.democrm@axelor.com";"01.10.79.99.77";;;6;15;;;;;;1;;;90000;;;;;;;;"img/partner/1033_128px_fr.png";1;
90008;2;"true";"false";"false";"true";"false";"RAYMOND";"Tony";1;"fr";90003;"t.raymond@axelor.com";"01.10.79.99.78";;;6;15;;;;;;1;;;90000;;;;;;;;"img/partner/1033_128px_fr.png";2;
90009;2;"true";"false";"false";"true";"false";"LAMY";"Thomas";1;"fr";90002;"t.lamy@axelor.com";"01.10.79.99.79";;;6;15;;;;;;1;;;90000;;;;;;;;"img/partner/1033_128px_fr.png";1;
90010;2;"true";"false";"false";"true";"false";"GIRAULT";"Anne";2;"fr";90004;"a.girault@axelor.com";"01.10.79.99.80";;;6;15;;;;;;1;;;90000;;;;;;;;"img/partner/1012_128px_fr.png";2;
90011;2;"true";"false";"false";"true";"false";"GEOFFROY";"Dimitri";1;"fr";90000;"d.geoffroy@axelor.com";"01.10.79.99.81";;;6;15;;;;;;1;;;90000;;;;;;;;"img/partner/1033_128px_fr.png";1;
90012;2;"true";"false";"false";"true";"false";"DAVID";"Alex";1;"fr";90000;"a.david@axelor.com";"01.10.79.99.82";;;6;15;;;;;;1;;;90000;;;;;;;;"img/partner/1033_128px_fr.png";2;
90013;2;"true";"false";"false";"true";"false";"ANDRE";"William";1;"fr";90000;"w.andre@axelor.com";"01.10.79.99.83";;;6;15;;;;;;1;;;90000;;;;;;;;"img/partner/1033_128px_fr.png";1;
90014;2;"true";"false";"false";"true";"false";"MAURIN";"David";1;"fr";90000;"d.maurin@axelor.com";"01.10.79.99.86";;;6;15;;;;;;1;;;90000;;;;;;;;"img/partner/1033_128px_fr.png";2;
90015;2;"true";"false";"false";"true";"false";"MARCHAL";"Cyril";1;"fr";90000;"c.marchal@axelor.com";"01.10.79.99.87";;;6;15;;;;;;1;;;90000;;;;;;;;"img/partner/1033_128px_fr.png";1;
90016;2;"true";"false";"false";"true";"false";"COSTA";"Robin";1;"fr";90000;"r.costa@axelor.com";"01.10.79.99.88";;;6;15;;;;;;1;;;90000;;;;;;;;"img/partner/1033_128px_fr.png";2;
90017;2;"true";"false";"false";"true";"false";"COLIN";"Romane";2;"fr";90000;"r.colin@axelor.com";"01.10.79.99.89";;;6;15;;;;;;1;;;90000;;;;;;;;"img/partner/1012_128px_fr.png";1;
90018;2;"true";"false";"false";"true";"false";"LOUIS";"Victoria";2;"fr";90000;"v.louis@axelor.com";"01.10.79.99.90";;;6;15;;;;;;1;;;90000;;;;;;;;"img/partner/1012_128px_fr.png";2;
90021;1;"false";"false";"false";"false";"true";"IFactor";;;"fr";90000;"info@ifactor.com";"01.10.79.99.91";;"emailpaper";8;15;6;"SME";"EUR";;;1;411100;401100;;3;1;22;11;2;7;;;;
