"importId";"partner_importId";"ownerName";"location";"bankAddress";"bic";"iban";"countryCode";"bankCode";"sortCode";"accountNbr";"bbanKey";"ibanBic";
30;42;"LEGRAND Fabrice";75016;"23-25 AVENUE DE LA GRANDE ARMEE  75016 PARIS";"BKCHFRPPXXX";"FR18769000013336451798099";"FR";"18769";"00001";33364517980;99;"FR18769000013336451798099 BKCHFRPPXXX";
31;43;"GARNIER Sébastien";75016;"23-25 AVENUE DE LA GRANDE ARMEE  75016 PARIS";"BKCHFRPPXXX";"FR18769000016909567854999";"FR";"18769";"00001";69095678549;99;"FR18769000016909567854999 BKCHFRPPXXX";
32;1002;"FAURE Laurence";75016;"23-25 AVENUE DE LA GRANDE ARMEE  75016 PARIS";"BKCHFRPPXXX";"FR18769000014940032412799";"FR";"18769";"00001";49400324127;99;"FR18769000014940032412799 BKCHFRPPXXX";
33;45;"ROUSSEAU Élisabeth";75015;"316 RUE DE VAUGIRARD  75015 PARIS";"CRLYFRPPXXX";"FR30002051867225129492699";"FR";"30002";"05186";72251294926;99;"FR30002051867225129492699 CRLYFRPPXXX";
34;46;"BLANC Bernard";75015;"316 RUE DE VAUGIRARD  75015 PARIS";"CRLYFRPPXXX";"FR30002051862647037483099";"FR";"30002";"05186";26470374830;99;"FR30002051862647037483099 CRLYFRPPXXX";
35;48;"GUERIN Nathalie";75014;"1 RUE D ALESIA  75014 PARIS";"CRLYFRPPXXX";"FR30002051788107128833699";"FR";"30002";"05178";81071288336;99;"FR30002051788107128833699 CRLYFRPPXXX";
36;49;"MULLER Philippe";75014;"1 RUE D ALESIA  75014 PARIS";"CRLYFRPPXXX";"FR30002051783490030993699";"FR";"30002";"05178";34900309936;99;"FR30002051783490030993699 CRLYFRPPXXX";
37;51;"HENRY Alain";75012;"22 BD DIDEROT  75012 PARIS";"CRLYFRPPXXX";"FR30002051882691287852199";"FR";"30002";"05188";26912878521;99;"FR30002051882691287852199 CRLYFRPPXXX";
38;52;"ROUSSEL Jean";75012;"22 BD DIDEROT  75012 PARIS";"CRLYFRPPXXX";"FR30002051885656246454299";"FR";"30002";"05188";56562464542;99;"FR30002051885656246454299 CRLYFRPPXXX";
39;54;"NICOLAS Nicolas";75011;"45 BD VOLTAIRE  75011 PARIS";"CRLYFRPPXXX";"FR30002055216996561660299";"FR";"30002";"05521";69965616602;99;"FR30002055216996561660299 CRLYFRPPXXX";
40;55;"PERRIN Bertrand";75011;"45 BD VOLTAIRE  75011 PARIS";"CRLYFRPPXXX";"FR30002055219487828259599";"FR";"30002";"05521";94878282595;99;"FR30002055219487828259599 CRLYFRPPXXX";
41;56;"MORIN Guillaume";75010;"115 RUE LA FAYETTE  75010 PARIS";"CRLYFRPPXXX";"FR30002055564427439703599";"FR";"30002";"05556";44274397035;99;"FR30002055564427439703599 CRLYFRPPXXX";
42;58;"MATHIEU David";75010;"115 RUE LA FAYETTE  75010 PARIS";"CRLYFRPPXXX";"FR30002055566988740765799";"FR";"30002";"05556";69887407657;99;"FR30002055566988740765799 CRLYFRPPXXX";
43;59;"CLEMENT Didier";75009;"44 RUE NOTRE DAME DE LORETTE  75009 PARIS";"CRLYFRPPXXX";"FR30002055575674377902799";"FR";"30002";"05557";56743779027;99;"FR30002055575674377902799 CRLYFRPPXXX";
44;61;"GAUTHIER Jean";75009;"44 RUE NOTRE DAME DE LORETTE  75009 PARIS";"CRLYFRPPXXX";"FR30002055574197960657799";"FR";"30002";"05557";41979606577;99;"FR30002055574197960657799 CRLYFRPPXXX";
45;62;"DUMONT Jacques";75008;"32, AV GEORGE V 32 AV GEORGE V 75008 PARIS";"BARCFRPPXXX";"FR24599000016314090317299";"FR";"24599";"00001";63140903172;99;"FR24599000016314090317299 BARCFRPPXXX";"FR24599000012400966976099 BARCFRPPXXX"
46;64;"LOPEZ Christophe";75008;"32, AV GEORGE V 32 AV GEORGE V 75008 PARIS";"BARCFRPPXXX";"FR24599000011625325038099";"FR";"24599";"00001";16253250380;99;"FR24599000011625325038099 BARCFRPPXXX";"FR24599000018815741250299 BARCFRPPXXX"
47;66;"FONTAINE Jean-Luc";75007;"65 AV DE SUFFREN  75007 PARIS";"CRLYFRPPXXX";"FR30002050233144513130999";"FR";"30002";"05023";31445131309;99;"FR30002050233144513130999 CRLYFRPPXXX";
48;68;"CHEVALIER François";75007;"65 AV DE SUFFREN  75007 PARIS";"CRLYFRPPXXX";"FR30002050232582842608099";"FR";"30002";"05023";25828426080;99;"FR30002050232582842608099 CRLYFRPPXXX";
49;69;"ROBIN René";75006;"113 BD DU MONTPARNASSE  75006 PARIS";"CRLYFRPPXXX";"FR30002050533114556234699";"FR";"30002";"05053";31145562346;99;"FR30002050533114556234699 CRLYFRPPXXX";
50;71;"MASSON Xavier";75006;"113 BD DU MONTPARNASSE  75006 PARIS";"CRLYFRPPXXX";"FR30002050537840463623199";"FR";"30002";"05053";78404636231;99;"FR30002050537840463623199 CRLYFRPPXXX";
51;72;"SANCHEZ Catherine";75006;"113 BD DU MONTPARNASSE  75006 PARIS";"CRLYFRPPXXX";"FR30002050538285692709699";"FR";"30002";"05053";82856927096;99;"FR30002050538285692709699 CRLYFRPPXXX";
52;78;"GERARD Fabrice";75005;"58 BD ST GERMAIN  75005 PARIS";"CRLYFRPPXXX";"FR30002051917923837576799";"FR";"30002";"05191";79238375767;99;"FR30002051917923837576799 CRLYFRPPXXX";
53;79;"NGUYEN Xavier";75005;"58 BD ST GERMAIN  75005 PARIS";"CRLYFRPPXXX";"FR30002051918629545773899";"FR";"30002";"05191";86295457738;99;"FR30002051918629545773899 CRLYFRPPXXX";
54;81;"BOYER Joël";75004;"18 RUE DE RIVOLI  75004 PARIS";"CRLYFRPPXXX";"FR30002050753471512475299";"FR";"30002";"05075";34715124752;99;"FR30002050753471512475299 CRLYFRPPXXX";
55;82;"DENIS Sandrine";75004;"18 RUE DE RIVOLI  75004 PARIS";"CRLYFRPPXXX";"FR30002050753867383127799";"FR";"30002";"05075";38673831277;99;"FR30002050753867383127799 CRLYFRPPXXX";
56;84;"LEMAIRE Emmanuel";75003;"90 RUE DE TURENNE  75003 PARIS";"CRLYFRPPXXX";"FR30002050749298139395099";"FR";"30002";"05074";92981393950;99;"FR30002050749298139395099 CRLYFRPPXXX";
57;85;"DUVAL Bertrand";75003;"90 RUE DE TURENNE  75003 PARIS";"CRLYFRPPXXX";"FR30002050742989598487199";"FR";"30002";"05074";29895984871;99;"FR30002050742989598487199 CRLYFRPPXXX";
58;86;"JOLY Herve";75002;"32 AV DE L OPERA  75002 PARIS";"CRLYFRPPXXX";"FR30002050808087496455299";"FR";"30002";"05080";80874964552;99;"FR30002050808087496455299 CRLYFRPPXXX";
59;87;"GAUTIER Fabrice";75002;"32 AV DE L OPERA  75002 PARIS";"CRLYFRPPXXX";"FR30002050808043900621599";"FR";"30002";"05080";80439006215;99;"FR30002050808043900621599 CRLYFRPPXXX";
60;89;"ROGER Jean Marc";13001;"25 RUE ST FERREOL  13001 MARSEILLE";"CRLYFRPPXXX";"FR30002053253400939415799";"FR";"30002";"05325";34009394157;99;"FR30002053253400939415799 CRLYFRPPXXX";
61;90;"ROCHE Dominique";13001;"25 RUE ST FERREOL  13001 MARSEILLE";"CRLYFRPPXXX";"FR30002053252772112225199";"FR";"30002";"05325";27721122251;99;"FR30002053252772112225199 CRLYFRPPXXX";
62;91;"ROY Thierry";13001;"25 RUE ST FERREOL  13001 MARSEILLE";"CRLYFRPPXXX";"FR30002053259538714629299";"FR";"30002";"05325";95387146292;99;"FR30002053259538714629299 CRLYFRPPXXX";
63;98;"EL-FASSI Meriem";13002;"1 3 5 RUE D ENCO DE BOTTE  13002 MARSEILLE";"BNPAFRPPXXX";"FR30004027893082758001399";"FR";"30004";"02789";30827580013;99;"FR30004027893082758001399 BNPAFRPPXXX";
64;99;"BOUBAKER Sara";13002;"1 3 5 RUE D ENCO DE BOTTE  13002 MARSEILLE";"BNPAFRPPXXX";"FR30004027899422423437099";"FR";"30004";"02789";94224234370;99;"FR30004027899422423437099 BNPAFRPPXXX";
65;100;"EL FASSI Adelkarim";13002;"1 3 5 RUE D ENCO DE BOTTE  13002 MARSEILLE";"BNPAFRPPXXX";"FR30004027898624692326099";"FR";"30004";"02789";86246923260;99;"FR30004027898624692326099 BNPAFRPPXXX";
66;102;"EL AABASSI Saïd";13003;"1 PL BERNARD CADENAT  13003 MARSEILLE";"BNPAFRPPXXX";"FR30004011257083049007699";"FR";"30004";"01125";70830490076;99;"FR30004011257083049007699 BNPAFRPPXXX";
67;103;"JEAN Guillaume";13003;"1 PL BERNARD CADENAT  13003 MARSEILLE";"BNPAFRPPXXX";"FR30004011254196626293599";"FR";"30004";"01125";41966262935;99;"FR30004011254196626293599 BNPAFRPPXXX";
68;104;"PEREZ Françoise";13003;"1 PL BERNARD CADENAT  13003 MARSEILLE";"BNPAFRPPXXX";"FR30004011254268454562599";"FR";"30004";"01125";42684545625;99;"FR30004011254268454562599 BNPAFRPPXXX";
69;105;"MARCHAND Laurent";13003;"1 PL BERNARD CADENAT  13003 MARSEILLE";"BNPAFRPPXXX";"FR30004011258269501962899";"FR";"30004";"01125";82695019628;99;"FR30004011258269501962899 BNPAFRPPXXX";
70;107;"DUFOUR Albert";13004;"39 AVENUE FOCH  13004 MARSEILLE";"NORDFRPPXXX";"FR30076022076864934255299";"FR";"30076";"02207";68649342552;99;"FR30076022076864934255299 NORDFRPPXXX";
71;108;"BLANCHARD Clément";13004;"39 AVENUE FOCH  13004 MARSEILLE";"NORDFRPPXXX";"FR30076022079491087112399";"FR";"30076";"02207";94910871123;99;"FR30076022079491087112399 NORDFRPPXXX";
72;109;"MARIE Julien";13004;"39 AVENUE FOCH  13004 MARSEILLE";"NORDFRPPXXX";"FR30076022073395646358799";"FR";"30076";"02207";33956463587;99;"FR30076022073395646358799 NORDFRPPXXX";
73;111;"BARBIER Sébastien";13006;"87 RUE PARADIS  13006 MARSEILLE";"CRLYFRPPXXX";"FR30002053263932052793299";"FR";"30002";"05326";39320527932;99;"FR30002053263932052793299 CRLYFRPPXXX";
74;112;"BRUN Laurence";13006;"87 RUE PARADIS  13006 MARSEILLE";"CRLYFRPPXXX";"FR30002053268068949345099";"FR";"30002";"05326";80689493450;99;"FR30002053268068949345099 CRLYFRPPXXX";
75;113;"DUMAS Estelle";13006;"87 RUE PARADIS  13006 MARSEILLE";"CRLYFRPPXXX";"FR30002053267086183166499";"FR";"30002";"05326";70861831664;99;"FR30002053267086183166499 CRLYFRPPXXX";
76;115;"BRUNET Laurent";13006;"87 RUE PARADIS  13006 MARSEILLE";"CRLYFRPPXXX";"FR30002053266519118622099";"FR";"30002";"05326";65191186220;99;"FR30002053266519118622099 CRLYFRPPXXX";
77;116;"SCHMITT Allan";13007;"112 BD DE LA CORDERIE  13007 MARSEILLE";"BNPAFRPPXXX";"FR30004012088604112458399";"FR";"30004";"01208";86041124583;99;"FR30004012088604112458399 BNPAFRPPXXX";
78;1003;"LEROUX Franck";13007;"112 BD DE LA CORDERIE  13007 MARSEILLE";"BNPAFRPPXXX";"FR30004012088672731587899";"FR";"30004";"01208";86727315878;99;"FR30004012088672731587899 BNPAFRPPXXX";
79;1004;"COLIN Arnaud";13007;"112 BD DE LA CORDERIE  13007 MARSEILLE";"BNPAFRPPXXX";"FR30004012085336665184099";"FR";"30004";"01208";53366651840;99;"FR30004012085336665184099 BNPAFRPPXXX";
80;118;"FERNANDEZ Pierre";33000;"13 COURS DE L INTENDANCE  33000 BORDEAUX";"CRLYFRPPXXX";"FR30002052145730108037399";"FR";"30002";"05214";57301080373;99;"FR30002052145730108037399 CRLYFRPPXXX";
81;119;"PIERRE Marie";33000;"13 COURS DE L INTENDANCE  33000 BORDEAUX";"CRLYFRPPXXX";"FR30002052141262991814599";"FR";"30002";"05214";12629918145;99;"FR30002052141262991814599 CRLYFRPPXXX";
82;120;"RENARD Baptiste";33000;"13 COURS DE L INTENDANCE  33000 BORDEAUX";"CRLYFRPPXXX";"FR30002052148376355876099";"FR";"30002";"05214";83763558760;99;"FR30002052148376355876099 CRLYFRPPXXX";
83;1005;"ARNAUD Clothilde";33000;"13 COURS DE L INTENDANCE  33000 BORDEAUX";"CRLYFRPPXXX";"FR30002052146545120985199";"FR";"30002";"05214";65451209851;99;"FR30002052146545120985199 CRLYFRPPXXX";
84;1006;"ROLLAND Garry";33000;"13 COURS DE L INTENDANCE  33000 BORDEAUX";"CRLYFRPPXXX";"FR30002052147338703807799";"FR";"30002";"05214";73387038077;99;"FR30002052147338703807799 CRLYFRPPXXX";
85;1007;"CARON Simon";33000;"13 COURS DE L INTENDANCE  33000 BORDEAUX";"CRLYFRPPXXX";"FR30002052147558382148699";"FR";"30002";"05214";75583821486;99;"FR30002052147558382148699 CRLYFRPPXXX";
86;1008;"AUBERT Luc";33000;"13 COURS DE L INTENDANCE  33000 BORDEAUX";"CRLYFRPPXXX";"FR30002052141163880150499";"FR";"30002";"05214";11638801504;99;"FR30002052141163880150499 CRLYFRPPXXX";
87;74;"GIRAUD Arnaud";31000;"18 PL DU PDT THOMAS WILSON  31000 TOULOUSE";"CRLYFRPPXXX";"FR30002054591029353007399";"FR";"30002";"05459";10293530073;99;"FR30002054591029353007399 CRLYFRPPXXX";
88;75;"LECLERC Alain";31000;"18 PL DU PDT THOMAS WILSON  31000 TOULOUSE";"CRLYFRPPXXX";"FR30002054591268391068399";"FR";"30002";"05459";12683910683;99;"FR30002054591268391068399 CRLYFRPPXXX";
89;76;"VIDAL Quentin";31000;"18 PL DU PDT THOMAS WILSON  31000 TOULOUSE";"CRLYFRPPXXX";"FR30002054594807152577499";"FR";"30002";"05459";48071525774;99;"FR30002054594807152577499 CRLYFRPPXXX";
90;1009;"KOUMASSI Rahoua";31000;"18 PL DU PDT THOMAS WILSON  31000 TOULOUSE";"CRLYFRPPXXX";"FR30002054593547101711199";"FR";"30002";"05459";35471017111;99;"FR30002054593547101711199 CRLYFRPPXXX";
91;1010;"RENAUD Mélanie";31000;"18 PL DU PDT THOMAS WILSON  31000 TOULOUSE";"CRLYFRPPXXX";"FR30002054596204488460799";"FR";"30002";"05459";62044884607;99;"FR30002054596204488460799 CRLYFRPPXXX";
92;1011;"LEMOINE Julie";31000;"18 PL DU PDT THOMAS WILSON  31000 TOULOUSE";"CRLYFRPPXXX";"FR30002054591753731596399";"FR";"30002";"05459";17537315963;99;"FR30002054591753731596399 CRLYFRPPXXX";
93;1012;"PICARD Anna";31000;"18 PL DU PDT THOMAS WILSON  31000 TOULOUSE";"CRLYFRPPXXX";"FR30002054596173308580899";"FR";"30002";"05459";61733085808;99;"FR30002054596173308580899 CRLYFRPPXXX";
94;1013;"GAILLARD François";31000;"18 PL DU PDT THOMAS WILSON  31000 TOULOUSE";"CRLYFRPPXXX";"FR30002054597278522347799";"FR";"30002";"05459";72785223477;99;"FR30002054597278522347799 CRLYFRPPXXX";
95;93;"PHILIPPE Sophie";63000;"3-5 RUE PAUL DUEZ  59900 LILLE";"PSSTFRPPLIL";"FR20041010059759089343899";"FR";"20041";"01005";97590893438;99;"FR20041010059759089343899 PSSTFRPPLIL";
96;94;"LECLERCQ Geoffrey";63000;"3-5 RUE PAUL DUEZ  59900 LILLE";"PSSTFRPPLIL";"FR20041010059044990328799";"FR";"20041";"01005";90449903287;99;"FR20041010059044990328799 PSSTFRPPLIL";
97;95;"LACROIX Cédric";63000;"3-5 RUE PAUL DUEZ  59900 LILLE";"PSSTFRPPLIL";"FR20041010051342146406099";"FR";"20041";"01005";13421464060;99;"FR20041010051342146406099 PSSTFRPPLIL";
98;96;"FABRE Daniel";63000;"3-5 RUE PAUL DUEZ  59900 LILLE";"PSSTFRPPLIL";"FR20041010057504895416899";"FR";"20041";"01005";75048954168;99;"FR20041010057504895416899 PSSTFRPPLIL";
99;1014;"DUPUIS Laurence";63000;"3-5 RUE PAUL DUEZ  59900 LILLE";"PSSTFRPPLIL";"FR20041010052246065898199";"FR";"20041";"01005";22460658981;99;"FR20041010052246065898199 PSSTFRPPLIL";
100;1015;"OLIVIER Elise";63000;"3-5 RUE PAUL DUEZ  59900 LILLE";"PSSTFRPPLIL";"FR20041010051716209732799";"FR";"20041";"01005";17162097327;99;"FR20041010051716209732799 PSSTFRPPLIL";
101;1016;"RODRIGUEZ Anna";59000;"28, PL RIHOUR 28 PL RIHOUR 59000 LILLE";"NORDFRPPXXX";"FR30076029929003128786499";"FR";"30076";"02992";90031287864;99;"FR30076029929003128786499 NORDFRPPXXX";"FR30076029928810265532999 NORDFRPPXXX"
102;1017;"DA SILVA Paul";59000;"28, PL RIHOUR 28 PL RIHOUR 59000 LILLE";"NORDFRPPXXX";"FR30076029927114099391999";"FR";"30076";"02992";71140993919;99;"FR30076029927114099391999 NORDFRPPXXX";"FR30076029922347571974299 NORDFRPPXXX"
103;122;"HUBERT Laurent";59000;"28, PL RIHOUR 28 PL RIHOUR 59000 LILLE";"NORDFRPPXXX";"FR30076029929848029717799";"FR";"30076";"02992";98480297177;99;"FR30076029929848029717799 NORDFRPPXXX";"FR30076029927748020019599 NORDFRPPXXX"
104;123;"LOUIS Noémie";59000;"28, PL RIHOUR 28 PL RIHOUR 59000 LILLE";"NORDFRPPXXX";"FR30076029928481130068399";"FR";"30076";"02992";84811300683;99;"FR30076029928481130068399 NORDFRPPXXX";"FR30076029923161054173499 NORDFRPPXXX"
105;124;"ADJE Younès";59000;"28, PL RIHOUR 28 PL RIHOUR 59000 LILLE";"NORDFRPPXXX";"FR30076029922693690171999";"FR";"30076";"02992";26936901719;99;"FR30076029922693690171999 NORDFRPPXXX";"FR30076029921390307254699 NORDFRPPXXX"
106;1018;"KA Salima";59000;"28, PL RIHOUR 28 PL RIHOUR 59000 LILLE";"NORDFRPPXXX";"FR30076029928186897575599";"FR";"30076";"02992";81868975755;99;"FR30076029928186897575599 NORDFRPPXXX";"FR30076029926256908142299 NORDFRPPXXX"
107;1019;"RIVIERE Jean-Charles";59000;"28, PL RIHOUR 28 PL RIHOUR 59000 LILLE";"NORDFRPPXXX";"FR30076029923227695944399";"FR";"30076";"02992";32276959443;99;"FR30076029923227695944399 NORDFRPPXXX";"FR30076029929212786424799 NORDFRPPXXX"
108;1020;"LE GALL Marion";59000;"28, PL RIHOUR 28 PL RIHOUR 59000 LILLE";"NORDFRPPXXX";"FR30076029926094654401999";"FR";"30076";"02992";60946544019;99;"FR30076029926094654401999 NORDFRPPXXX";"FR30076029922217199416699 NORDFRPPXXX"
109;1021;"ABBOU Mustapha";59000;"28, PL RIHOUR 28 PL RIHOUR 59000 LILLE";"NORDFRPPXXX";"FR30076029924340159581499";"FR";"30076";"02992";43401595814;99;"FR30076029924340159581499 NORDFRPPXXX";"FR30076029929728963928399 NORDFRPPXXX"
110;126;"ABBES Youssef";67000;"13 RUE DE LA MESANGE  67000 STRASBOURG";"CRLYFRPPXXX";"FR30002052859004982907699";"FR";"30002";"05285";90049829076;99;"FR30002052859004982907699 CRLYFRPPXXX";
111;127;"REY Pierre";67000;"13 RUE DE LA MESANGE  67000 STRASBOURG";"CRLYFRPPXXX";"FR30002052857071219745199";"FR";"30002";"05285";70712197451;99;"FR30002052857071219745199 CRLYFRPPXXX";
112;128;"MOULIN Robert";67000;"13 RUE DE LA MESANGE  67000 STRASBOURG";"CRLYFRPPXXX";"FR30002052855280005890199";"FR";"30002";"05285";52800058901;99;"FR30002052855280005890199 CRLYFRPPXXX";
113;1022;"GONZALEZ Luca";67000;"13 RUE DE LA MESANGE  67000 STRASBOURG";"CRLYFRPPXXX";"FR30002052852999047331499";"FR";"30002";"05285";29990473314;99;"FR30002052852999047331499 CRLYFRPPXXX";
114;1023;"BERGER Grégory";67000;"13 RUE DE LA MESANGE  67000 STRASBOURG";"CRLYFRPPXXX";"FR30002052856454028360699";"FR";"30002";"05285";64540283606;99;"FR30002052856454028360699 CRLYFRPPXXX";
115;1024;"LECOMTE Arnaud";67000;"13 RUE DE LA MESANGE  67000 STRASBOURG";"CRLYFRPPXXX";"FR30002052852253052843799";"FR";"30002";"05285";22530528437;99;"FR30002052852253052843799 CRLYFRPPXXX";
116;1025;"MENARD Fabrice";67000;"13 RUE DE LA MESANGE  67000 STRASBOURG";"CRLYFRPPXXX";"FR30002052851695155091499";"FR";"30002";"05285";16951550914;99;"FR30002052851695155091499 CRLYFRPPXXX";
117;130;"FLEURY Jean-Louis";6000;"191 RUE DE FRANCE  6000 NICE";"CRLYFRPPXXX";"FR30002053183753938467499";"FR";"30002";"05318";37539384674;99;"FR30002053183753938467499 CRLYFRPPXXX";
