"importId";"partnerSeq";"partnerTypeSelect";"isContact";"name";"firstName";"titleSelect";"language.code";"mainInvoicingAddress.importId";"deliveryAddress.importId";"email";"fixedPhone";"mobilePhone";"bankDetails.importId";"invoiceSendingFormatSelect";"paymentMode.code";"paymentCondition.code";"partnerCategory.code";"currency.code";"blocking.importId";"rejectCounter";"companySet_importId";"customerAccount_code";"supplierAccount_code";"mainPartner_importId";"isCustomer";"customerTypeSelect";"isSupplier";"supplierTypeSelect";"industrySectorSelect";"userInfo.importId";"team.importId";"source.id"
25;"T00025";2;"true";"BERTRAND";"Philippe";1;"fr";70;70;"p.bertrand@spoutnik.fr";"04.78.93.19.99";"06.62.57.90.99";;;;;;;;;1;;;24;"false";;"false";;;;;
26;"T00026";2;"true";"ROUX";"Jean Philippe";1;"fr";70;70;"j.roux@spoutnik.fr";"04.45.31.40.99";"06.45.47.21.99";;;;;;;;;1;;;24;"false";;"false";;;;;
27;"T00027";2;"true";"VINCENT";"Philippe";1;"fr";70;70;"p.vincent@spoutnik.fr";"04.61.16.39.99";"07.18.51.18.99";;;;;;;;;1;;;24;"false";;"false";;;;;
28;"T00028";1;"false";"Ets FOURNIER";;;"fr";80;80;"contact@ets-fournier.fr";"03.64.57.54.99";;;"emailpaper";"IN_CHQ";"30JRFDM";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;10;14;1;8
29;"T00029";2;"true";"FOURNIER";"William";1;"fr";80;80;"w.fournier@ets-fournier.fr";"03.49.46.92.99";"07.77.76.54.99";;;;;;;;;1;;;28;"false";;"false";;;;;
30;"T00030";2;"true";"MOREL";"Séverine";2;"fr";80;80;"s.morel@ets-fournier.fr";"03.56.77.33.99";"07.54.89.46.99";;;;;;;;;1;;;28;"false";;"false";;;;;
31;"T00031";1;"false";"GIRARD & ANDRE";;;"fr";90;90;"info@girardetandre.fr";"05.32.28.92.99";;;"emailpaper";"IN_CHQ";"30JRFDM";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;8;14;1;8
32;"T00032";2;"true";"GIRARD";"Denis";1;"fr";90;90;"d.girard@girardetandre.fr";"05.80.63.41.99";"07.77.12.30.99";;;;;;;;;1;;;31;"false";;"false";;;;;
33;"T00033";2;"true";"ANDRE";"Jean Pierre";1;"fr";90;90;"j.andre@girardetandre.fr";"05.37.62.46.99";"07.58.50.46.99";;;;;;;;;1;;;31;"false";;"false";;;;;
34;"T00034";1;"false";"DUPONT & LAMBERT";;;"fr";100;100;"contact@dupont-lambert.fr";"03.59.70.78.99";;;"emailpaper";"IN_CHQ";"30JRFDM";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;3;13;1;8
35;"T00035";2;"true";"DUPONT";"Albert";1;"fr";100;100;"a.dupont@dupont-lambert.fr";"03.57.68.32.99";"07.36.86.83.99";;;;;;;;;1;;;34;"false";;"false";;;;;
36;"T00036";2;"true";"LAMBERT";"Jérôme";1;"fr";100;100;"j.lambert@dupont-lambert.fr";"03.23.94.51.99";"07.44.35.22.99";;;;;;;;;1;;;34;"false";;"false";;;;;
37;"T00037";1;"false";"B&F Conseil";;;"fr";13000;13000;"info@bfconseil.fr";"04.68.74.80.99";;;"emailpaper";"IN_CHQ";"30JRFDM";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;6;16;2;7
38;"T00038";2;"true";"BONNET";"Françoise";2;"fr";13000;130;"f.bonnet@bfconseil.fr";"04.63.24.25.99";"06.74.48.23.99";;;;;;;;;1;;;37;"false";;"false";;;;;
39;"T00039";2;"true";"FRANCOIS";"Nelly";2;"fr";13000;130;"n.francois@bfconseil.fr";"04.81.78.52.99";"06.58.74.71.99";;;;;;;;;1;;;37;"false";;"false";;;;;
40;"T00040";1;"false";"Ets MARTINEZ";;;"fr";13001;13001;"info@etsmartinez.fr";"04.66.32.37.99";;;"emailpaper";"IN_CHQ";"30JRFDM";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;6;16;2;1
41;"T00041";2;"true";"MARTINEZ";"Chantal";2;"fr";13000;13000;"c.martinez@etsmartinez.fr";"04.66.94.77.99";"06.76.88.57.99";;;;;;;;;1;;;40;"false";;"false";;;;;
42;"T00042";2;"true";"LEGRAND";"Fabrice";1;"fr";13000;13000;"f.legrand@etsmartinez.fr";"04.45.24.18.99";"06.31.33.21.99";;;;;;;;;1;;;40;"false";;"false";;;;;
43;"T00043";2;"true";"GARNIER";"Sébastien";1;"fr";13000;13000;"s.garnier@etsmartinez.fr";"04.60.62.64.99";"06.39.57.27.99";;;;;;;;;1;;;40;"false";;"false";;;;;
44;"T00044";1;"false";"BLUEBERRY TELECOM";;;"fr";13002;13002;"contact@blueberry-telecom.fr";"04.57.26.42.99";;;"emailpaper";"IN_CHQ";"30JRFDM";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;22;15;2;7
45;"T00045";2;"true";"ROUSSEAU";"Élisabeth";2;"fr";13001;13001;"e.rousseau@blueberry-telecom.fr";"04.76.56.86.99";"06.14.62.29.99";;;;;;;;;1;;;44;"false";;"false";;;;;
46;"T00046";2;"true";"BLANC";"Bernard";1;"fr";13001;13001;"b.blanc@blueberry-telecom.fr";"04.82.32.70.99";"07.83.63.98.99";;;;;;;;;1;;;44;"false";;"false";;;;;
47;"T00047";1;"false";"MULLER & Cie";;;"fr";13003;13003;"contact@muller-cie.fr";"04.90.85.62.99";;;"emailpaper";"IN_CHQ";"30JRFDM";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;11;16;2;8
48;"T00048";2;"true";"GUERIN";"Nathalie";2;"fr";13002;13002;"n.guerin@muller-cie.fr";"04.62.33.39.99";"07.19.19.72.99";;;;;;;;;1;;;47;"false";;"false";;;;;
49;"T00049";2;"true";"MULLER";"Philippe";1;"fr";13002;13002;"p.muller@muller-cie.fr";"04.94.52.44.99";"07.42.56.84.99";;;;;;;;;1;;;47;"false";;"false";;;;;
50;"T00050";1;"false";"HR Technologie";;;"fr";190;190;"info@hrtech.fr";"05.76.41.85.99";;;"emailpaper";"IN_CB";"15JRNET";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;3;16;2;9
51;"T00051";2;"true";"HENRY";"Alain";1;"fr";190;190;"a.henry@hrtech.fr";"05.74.93.55.99";"06.42.42.88.99";;;;;;;;;1;;;50;"false";;"false";;;;;
52;"T00052";2;"true";"ROUSSEL";"Jean";1;"fr";190;190;"j.roussel@hrtech.fr";"05.87.86.16.99";"07.73.88.66.99";;;;;;;;;1;;;50;"false";;"false";;;;;
53;"T00053";1;"false";"NPM Services";;;"fr";210;210;"info@npm-services.fr";"03.72.68.88.99";;;"emailpaper";"IN_CB";"15JRNET";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;16;13;1;7
54;"T00054";2;"true";"NICOLAS";"Nicolas";1;"fr";210;210;"n.nicolas@npm-services.fr";"03.71.51.84.99";"07.36.99.25.99";;;;;;;;;1;;;53;"false";;"false";;;;;
55;"T00055";2;"true";"PERRIN";"Bertrand";1;"fr";210;210;"b.perrin@npm-services.fr";"03.91.58.67.99";"06.24.18.63.99";;;;;;;;;1;;;53;"false";;"false";;;;;
56;"T00056";2;"true";"MORIN";"Guillaume";1;"fr";210;210;"g.morin@npm-services.fr";"03.75.44.80.99";"07.72.97.26.99";;;;;;;;;1;;;53;"false";;"false";;;;;
57;"T00057";1;"false";"MATHIEU & CLEMENT";;;"fr";220;220;"contact@mathieuetclement.fr";"02.55.71.35.99";;;"emailpaper";"IN_CB";"15JRNET";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;13;14;1;10
58;"T00058";2;"true";"MATHIEU";"David";1;"fr";220;220;"d.mathieu@mathieuetclement.fr";"02.30.11.74.99";"07.80.48.99.99";;;;;;;;;1;;;57;"false";;"false";;;;;
59;"T00059";2;"true";"CLEMENT";"Didier";1;"fr";220;220;"d.clement@mathieuetclement.fr";"02.91.71.25.99";"07.53.79.67.99";;;;;;;;;1;;;57;"false";;"false";;;;;
60;"T00060";1;"false";"GDL Industrie";;;"fr";240;240;"info@gdlindustrie.fr";"05.20.69.16.99";;;"emailpaper";"IN_CB";"15JRNET";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;10;15;2;10
61;"T00061";2;"true";"GAUTHIER";"Jean";1;"fr";240;240;"j.gauthier@gdlindustrie.fr";"05.14.53.99.99";"06.30.96.91.99";;;;;;;;;1;;;60;"false";;"false";;;;;
62;"T00062";2;"true";"DUMONT";"Jacques";1;"fr";240;240;"j.dumont@gdlindustrie.fr";"05.65.34.39.99";"06.63.56.18.99";;;;;;;;;1;;;60;"false";;"false";;;;;
63;"T00063";1;"false";"LOPEZ & Co";;;"fr";250;250;"contact@lopezco.fr";"03.77.14.71.99";;;"emailpaper";"IN_CB";"15JRNET";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;23;13;1;5
64;"T00064";2;"true";"LOPEZ";"Christophe";1;"fr";250;250;"c.lopez@lopezco.fr";"03.87.42.68.99";"07.45.26.52.99";;;;;;;;;1;;;63;"false";;"false";;;;;
65;"T00065";1;"false";"Transports FONTAINE";;;"fr";260;260;"info@transports-fontaine.fr";"04.79.57.57.99";;;"emailpaper";"IN_CB";"15JRNET";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;21;16;2;1
66;"T00066";2;"true";"FONTAINE";"Jean-Luc";1;"fr";260;260;"j.fontaine@transports-fontaine.fr";"04.73.36.54.99";"07.69.85.86.99";;;;;;;;;1;;;65;"false";;"false";;;;;
67;"T00067";1;"false";"Transports CHEVALIER";;;"fr";310;310;"contact@transports-chevalier.fr";"05.59.98.81.99";;;"emailpaper";"IN_CB";"15JRNET";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;21;15;2;9
68;"T00068";2;"true";"CHEVALIER";"François";1;"fr";310;310;"f.chevalier@transports-chevalier.fr";"05.56.69.94.99";"07.10.41.47.99";;;;;;;;;1;;;67;"false";;"false";;;;;
69;"T00069";2;"true";"ROBIN";"René";1;"fr";310;310;"r.robin@transports-chevalier.fr";"05.85.93.18.99";"06.51.33.86.99";;;;;;;;;1;;;67;"false";;"false";;;;;
70;"T00070";1;"false";"MASSON Logistics";;;"fr";311;311;"contact@masson.fr";"05.54.49.53.99";;;"emailpaper";"IN_CB";"15JRNET";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;21;15;2;3
71;"T00071";2;"true";"MASSON";"Xavier";1;"fr";311;311;"x.masson@masson.fr";"05.59.32.29.99";"07.76.18.65.99";;;;;;;;;1;;;70;"false";;"false";;;;;
72;"T00072";2;"true";"SANCHEZ";"Catherine";2;"fr";311;311;"c.sanchez@masson.fr";"05.21.99.12.99";"07.59.17.99.99";;;;;;;;;1;;;70;"false";;"false";;;;;
73;"T00073";1;"false";"GIRAUD Aviation";;;"fr";312;312;"contact@giraud-aviation.fr";"05.97.72.59.99";;;"emailpaper";"IN_CB";"15JRNET";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;18;15;2;8
74;"T00074";2;"true";"GIRAUD";"Arnaud";1;"fr";312;312;"a.giraud@giraud-aviation.fr";"05.73.49.99.99";"06.28.89.21.99";;;;;;;;;1;;;73;"false";;"false";;;;;
75;"T00075";2;"true";"LECLERC";"Alain";1;"fr";312;312;"a.leclerc@giraud-aviation.fr";"05.10.14.31.99";"06.12.97.12.99";;;;;;;;;1;;;73;"false";;"false";;;;;
76;"T00076";2;"true";"VIDAL";"Quentin";1;"fr";312;312;"q.vidal@giraud-aviation.fr";"05.84.66.90.99";"07.97.65.24.99";;;;;;;;;1;;;73;"false";;"false";;;;;
77;"T00077";1;"false";"GERARD Solutions";;;"fr";330;330;"contact@gerard-solutions.fr";"05.60.34.68.99";;;"emailpaper";"IN_CB";"15JRNET";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;4;16;2;12
78;"T00078";2;"true";"GERARD";"Fabrice";1;"fr";330;330;"f.gerard@gerard-solutions.fr";"05.43.51.63.99";"06.90.75.97.99";;;;;;;;;1;;;77;"false";;"false";;;;;
79;"T00079";2;"true";"NGUYEN";"Xavier";1;"fr";330;330;"x.nguyen@gerard-solutions.fr";"05.86.19.71.99";"06.97.90.53.99";;;;;;;;;1;;;77;"false";;"false";;;;;
80;"T00080";1;"false";"BOYER Transports";;;"fr";350;350;"contact@boyertransports.fr";"02.75.81.49.99";;;"emailpaper";"IN_CB";"15JRNET";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;21;14;1;9
81;"T00081";2;"true";"BOYER";"Joël";1;"fr";350;350;"j.boyer@boyertransports.fr";"02.11.64.21.99";"06.29.99.69.99";;;;;;;;;1;;;80;"false";;"false";;;;;
82;"T00082";2;"true";"DENIS";"Sandrine";2;"fr";350;350;"s.denis@boyertransports.fr";"02.38.65.19.99";"07.17.46.70.99";;;;;;;;;1;;;80;"false";;"false";;;;;
83;"T00083";1;"false";"LEMAIRE Communications";;;"fr";440;440;"info@lemairecom.fr";"02.97.74.50.99";;;"emailpaper";"IN_CB";"15JRNET";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;5;13;1;2
84;"T00084";2;"true";"LEMAIRE";"Emmanuel";1;"fr";440;440;"e.lemaire@lemairecom.fr";"02.54.96.67.99";"07.88.62.49.99";;;;;;;;;1;;;83;"false";;"false";;;;;
85;"T00085";2;"true";"DUVAL";"Bertrand";1;"fr";440;440;"b.duval@lemairecom.fr";"02.96.99.69.99";"07.17.15.64.99";;;;;;;;;1;;;83;"false";;"false";;;;;
86;"T00086";2;"true";"JOLY";"Herve";1;"fr";440;440;"h.joly@lemairecom.fr";"02.44.54.31.99";"06.10.80.97.99";;;;;;;;;1;;;83;"false";;"false";;;;;
87;"T00087";2;"true";"GAUTIER";"Fabrice";1;"fr";440;440;"f.gautier@lemairecom.fr";"02.62.99.31.99";"06.40.95.45.99";;;;;;;;;1;;;;"false";;"false";;;;;
88;"T00088";1;"false";"123 Services";;;"fr";590;590;"info@123-services.fr";"03.28.24.92.99";;;"emailpaper";"IN_CB";"15JRNET";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;7;13;1;1
89;"T00089";2;"true";"ROGER";"Jean Marc";1;"fr";590;590;"j.roger@123-services.fr";"03.34.37.34.99";"06.75.77.83.99";;;;;;;;;1;;;88;"false";;"false";;;;;
90;"T00090";2;"true";"ROCHE";"Dominique";1;"fr";590;590;"d.roche@123-services.fr";"03.76.48.22.99";"07.42.32.10.99";;;;;;;;;1;;;88;"false";;"false";;;;;
91;"T00091";2;"true";"ROY";"Thierry";1;"fr";590;590;"t.roy@123-services.fr";"03.17.89.44.99";"06.64.23.62.99";;;;;;;;;1;;;88;"false";;"false";;;;;
92;"T00092";1;"false";"Pneus LACROIX";;;"fr";630;630;"info@pneus-lacroix.fr";"04.48.39.78.99";;;"emailpaper";"IN_CB";"15JRNET";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;20;16;2;7
93;"T00093";2;"true";"PHILIPPE";"Sophie";2;"fr";630;630;"s.philippe@pneus-lacroix.fr";"04.87.88.92.99";"07.57.37.32.99";;;;;;;;;1;;;92;"false";;"false";;;;;
94;"T00094";2;"true";"LECLERCQ";"Geoffrey";1;"fr";630;630;"g.leclercq@pneus-lacroix.fr";"04.10.38.44.99";"07.95.46.56.99";;;;;;;;;1;;;92;"false";;"false";;;;;
95;"T00095";2;"true";"LACROIX";"Cédric";1;"fr";630;630;"c.lacroix@pneus-lacroix.fr";"04.34.19.93.99";"06.71.30.66.99";;;;;;;;;1;;;92;"false";;"false";;;;;
96;"T00096";2;"true";"FABRE";"Daniel";1;"fr";630;630;"d.fabre@pneus-lacroix.fr";"04.12.31.88.99";"07.18.20.52.99";;;;;;;;;1;;;;"false";;"false";;;;;
97;"T00097";1;"false";"EL-FASSI Autos";;;"fr";670;670;"info@elfassiautos.fr";"03.87.20.39.99";;;"emailpaper";"IN_CB";"15JRNET";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;20;14;1;4
98;"T00098";2;"true";"EL-FASSI";"Meriem";2;"fr";670;670;"m.el-fassi@elfassiautos.fr";"03.94.84.34.99";"07.90.25.58.99";;;;;;;;;1;;;97;"false";;"false";;;;;
99;"T00099";2;"true";"BOUBAKER";"Sara";2;"fr";670;670;"s.boubaker@elfassiautos.fr";"03.10.50.48.99";"06.51.40.78.99";;;;;;;;;1;;;97;"false";;"false";;;;;
100;"T00100";2;"true";"EL FASSI";"Adelkarim";1;"fr";670;670;"a.el fassi@elfassiautos.fr";"03.66.18.97.99";"07.53.73.24.99";;;;;;;;;1;;;97;"false";;"false";;;;;
101;"T00101";1;"false";"Ets AABASSI";;;"fr";69000;69000;"contact@ets-aabassi.fr";"04.91.98.99.99";;;"emailpaper";"IN_CB";"15JRNET";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;14;16;2;9
102;"T00102";2;"true";"EL AABASSI";"Saïd";1;"fr";69000;69000;"s.el aabassi@ets-aabassi.fr";"04.79.21.61.99";"07.99.69.53.99";;;;;;;;;1;;;101;"false";;"false";;;;;
103;"T00103";2;"true";"JEAN";"Guillaume";1;"fr";69000;69000;"g.jean@ets-aabassi.fr";"04.35.23.62.99";"06.15.58.17.99";;;;;;;;;1;;;101;"false";;"false";;;;;
104;"T00104";2;"true";"PEREZ";"Françoise";2;"fr";69000;69000;"f.perez@ets-aabassi.fr";"04.18.75.20.99";"06.20.37.20.99";;;;;;;;;1;;;101;"false";;"false";;;;;
105;"T00105";2;"true";"MARCHAND";"Laurent";1;"fr";69000;69000;"l.marchand@ets-aabassi.fr";"04.74.45.90.99";"06.15.75.92.99";;;;;;;;;1;;;;"false";;"false";;;;;
106;"T00106";1;"false";"D&B Consulting";;;"fr";75000;75000;"info@dbconsulting.fr";"01.67.34.39.99";;;"emailpaper";"IN_CB";"15JRNET";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;7;17;3;1
107;"T00107";2;"true";"DUFOUR";"Albert";1;"fr";75000;75000;"a.dufour@dbconsulting.fr";"01.16.96.20.99";"06.59.46.56.99";;;;;;;;;1;;;106;"false";;"false";;;;;
108;"T00108";2;"true";"BLANCHARD";"Clément";1;"fr";75000;75000;"c.blanchard@dbconsulting.fr";"01.44.49.36.99";"07.38.40.12.99";;;;;;;;;1;;;106;"false";;"false";;;;;
109;"T00109";2;"true";"MARIE";"Julien";1;"fr";75000;75000;"j.marie@dbconsulting.fr";"01.36.84.97.99";"07.90.12.10.99";;;;;;;;;1;;;106;"false";;"false";;;;;
110;"T00110";1;"false";"OR TECH";;;"fr";75001;75001;"contact@or-tech.fr";"01.24.95.86.99";;;"emailpaper";"IN_CB";"15JRNET";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;4;17;3;12
111;"T00111";2;"true";"BARBIER";"Sébastien";1;"fr";75001;75001;"s.barbier@or-tech.fr";"01.29.14.50.99";"06.99.35.23.99";;;;;;;;;1;;;110;"false";;"false";;;;;
112;"T00112";2;"true";"BRUN";"Laurence";2;"fr";75001;75001;"l.brun@or-tech.fr";"01.98.29.44.99";"06.73.96.54.99";;;;;;;;;1;;;110;"false";;"false";;;;;
113;"T00113";2;"true";"DUMAS";"Estelle";2;"fr";75001;75001;"e.dumas@or-tech.fr";"01.60.78.97.99";"06.22.53.16.99";;;;;;;;;1;;;110;"false";;"false";;;;;
114;"T00114";1;"false";"BRUNET Import Export";;;"fr";75002;75002;"info@brunet-ie.fr";"01.22.42.55.99";;;"emailpaper";"IN_CB";"15JRNET";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;1;17;3;5
115;"T00115";2;"true";"BRUNET";"Laurent";1;"fr";75002;75002;"l.brunet@brunet-ie.fr";"01.66.47.33.99";"06.59.29.19.99";;;;;;;;;1;;;114;"false";;"false";;;;;
116;"T00116";2;"true";"SCHMITT";"Allan";1;"fr";75002;75002;"a.schmitt@brunet-ie.fr";"01.82.44.83.99";"06.51.44.65.99";;;;;;;;;1;;;114;"false";;"false";;;;;
117;"T00117";1;"false";"FERNANDEZ MultiServices";;;"fr";75003;75003;"info@fernandez-ms.fr";"01.55.68.53.99";;;"emailpaper";"IN_CB";"15JRNET";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;14;17;3;12
118;"T00118";2;"true";"FERNANDEZ";"Pierre";1;"fr";75003;75003;"p.fernandez@fernandez-ms.fr";"01.32.93.71.99";"07.64.95.10.99";;;;;;;;;1;;;117;"false";;"false";;;;;
119;"T00119";2;"true";"PIERRE";"Marie";2;"fr";75003;75003;"m.pierre@fernandez-ms.fr";"01.60.41.97.99";"06.48.87.52.99";;;;;;;;;1;;;117;"false";;"false";;;;;
120;"T00120";2;"true";"RENARD";"Baptiste";1;"fr";75003;75003;"b.renard@fernandez-ms.fr";"01.60.85.52.99";"07.11.94.54.99";;;;;;;;;1;;;117;"false";;"false";;;;;
121;"T00121";1;"false";"HL Composants";;;"fr";790;790;"info@hlcomposants.fr";"05.56.48.59.99";;;"emailpaper";"IN_CB";"15JRNET";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;9;14;1;1
122;"T00122";2;"true";"HUBERT";"Laurent";1;"fr";790;790;"l.hubert@hlcomposants.fr";"05.15.28.44.99";"06.81.78.68.99";;;;;;;;;1;;;121;"false";;"false";;;;;
123;"T00123";2;"true";"LOUIS";"Noémie";2;"fr";790;790;"n.louis@hlcomposants.fr";"05.60.18.22.99";"07.27.45.25.99";;;;;;;;;1;;;121;"false";;"false";;;;;
124;"T00124";2;"true";"HADJE";"Younès";1;"fr";790;790;"y.adje@hlcomposants.fr";"05.67.85.54.99";"07.42.54.10.99";;;;;;;;;1;;;121;"false";;"false";;;;;
125;"T00125";1;"false";"EUROPE GEOLOC";;;"fr";920;920;"info@europe-geoloc.fr";"01.68.47.25.99";;;"emailpaper";"IN_CB";"15JRNET";"SME";"EUR";;;1;411100;401100;;"true";2;"true";2;22;17;3;4
126;"T00126";2;"true";"HABBES";"Youssef";1;"fr";920;920;"y.abbes@europe-geoloc.fr";"01.52.70.51.99";"06.52.19.50.99";;;;;;;;;1;;;125;"false";;"false";;;;;
127;"T00127";2;"true";"REY";"Pierre";1;"fr";920;920;"p.rey@europe-geoloc.fr";"01.68.34.75.99";"07.64.21.91.99";;;;;;;;;1;;;125;"false";;"false";;;;;
