"partner";"ownerName";"location";"bankAddress";"bic";"iban";"countryCode";"bankCode";"sortCode";"accountNbr";"bbanKey";"ibanBic"
23;"ANDRE Jean Pierre";75020;"4 RUE D AVRON  75020 PARIS";"CRLYFRPPXXX";"FR30002055184501023916599";"FR";"30002";"05518";45010239165;99;"FR30002055184501023916599 CRLYFRPPXXX"
24;"MERCIER Ludovic";75019;"ZAC CLAUDE BERNARD 134 BD MAC DONALD 75019 PARIS";"BNPAFRPPXXX";"FR30004031004862759500199";"FR";"30004";"03100";48627595001;99;"FR30004031004862759500199 BNPAFRPPXXX"
25;"DUPONT Albert";75019;"ZAC CLAUDE BERNARD 134 BD MAC DONALD 75019 PARIS";"BNPAFRPPXXX";"FR30004031004139072089399";"FR";"30004";"03100";41390720893;99;"FR30004031004139072089399 BNPAFRPPXXX"
26;"LAMBERT Jérôme";75018;"20 RUE DES ABBESSES  75018 PARIS";"CRLYFRPPXXX";"FR30002055288813744512799";"FR";"30002";"05528";88137445127;99;"FR30002055288813744512799 CRLYFRPPXXX"
27;"BONNET Françoise";75018;"20 RUE DES ABBESSES  75018 PARIS";"CRLYFRPPXXX";"FR30002055285129237907699";"FR";"30002";"05528";51292379076;99;"FR30002055285129237907699 CRLYFRPPXXX"
28;"FRANCOIS Nelly";75017;"85 B AV DE WAGRAM  75017 PARIS";"CRLYFRPPXXX";"FR30002051063195228676499";"FR";"30002";"05106";31952286764;99;"FR30002051063195228676499 CRLYFRPPXXX"
29;"MARTINEZ Chantal";75017;"85 B AV DE WAGRAM  75017 PARIS";"CRLYFRPPXXX";"FR30002051063281014175599";"FR";"30002";"05106";32810141755;99;"FR30002051063281014175599 CRLYFRPPXXX"
30;"LEGRAND Fabrice";75016;"23-25 AVENUE DE LA GRANDE ARMEE  75016 PARIS";"BKCHFRPPXXX";"FR18769000018404886216099";"FR";"18769";"00001";84048862160;99;"FR18769000018404886216099 BKCHFRPPXXX"
31;"GARNIER Sébastien";75016;"23-25 AVENUE DE LA GRANDE ARMEE  75016 PARIS";"BKCHFRPPXXX";"FR18769000011772579417399";"FR";"18769";"00001";17725794173;99;"FR18769000011772579417399 BKCHFRPPXXX"
32;"FAURE Laurence";75016;"23-25 AVENUE DE LA GRANDE ARMEE  75016 PARIS";"BKCHFRPPXXX";"FR18769000016335513205599";"FR";"18769";"00001";63355132055;99;"FR18769000016335513205599 BKCHFRPPXXX"
33;"ROUSSEAU Élisabeth";75015;"316 RUE DE VAUGIRARD  75015 PARIS";"CRLYFRPPXXX";"FR30002051867904223109899";"FR";"30002";"05186";79042231098;99;"FR30002051867904223109899 CRLYFRPPXXX"
34;"BLANC Bernard";75015;"316 RUE DE VAUGIRARD  75015 PARIS";"CRLYFRPPXXX";"FR30002051862585981813499";"FR";"30002";"05186";25859818134;99;"FR30002051862585981813499 CRLYFRPPXXX"
35;"GUERIN Nathalie";75014;"1 RUE D ALESIA  75014 PARIS";"CRLYFRPPXXX";"FR30002051789354345298799";"FR";"30002";"05178";93543452987;99;"FR30002051789354345298799 CRLYFRPPXXX"
36;"MULLER Philippe";75014;"1 RUE D ALESIA  75014 PARIS";"CRLYFRPPXXX";"FR30002051787338727343299";"FR";"30002";"05178";73387273432;99;"FR30002051787338727343299 CRLYFRPPXXX"
37;"HENRY Alain";75012;"22 BD DIDEROT  75012 PARIS";"CRLYFRPPXXX";"FR30002051883529273190999";"FR";"30002";"05188";35292731909;99;"FR30002051883529273190999 CRLYFRPPXXX"
38;"ROUSSEL Jean";75012;"22 BD DIDEROT  75012 PARIS";"CRLYFRPPXXX";"FR30002051888374310075899";"FR";"30002";"05188";83743100758;99;"FR30002051888374310075899 CRLYFRPPXXX"
39;"NICOLAS Nicolas";75011;"45 BD VOLTAIRE  75011 PARIS";"CRLYFRPPXXX";"FR30002055218422354850299";"FR";"30002";"05521";84223548502;99;"FR30002055218422354850299 CRLYFRPPXXX"
40;"PERRIN Bertrand";75011;"45 BD VOLTAIRE  75011 PARIS";"CRLYFRPPXXX";"FR30002055218267802681099";"FR";"30002";"05521";82678026810;99;"FR30002055218267802681099 CRLYFRPPXXX"
41;"MORIN Guillaume";75010;"115 RUE LA FAYETTE  75010 PARIS";"CRLYFRPPXXX";"FR30002055565198274001899";"FR";"30002";"05556";51982740018;99;"FR30002055565198274001899 CRLYFRPPXXX"
42;"MATHIEU David";75010;"115 RUE LA FAYETTE  75010 PARIS";"CRLYFRPPXXX";"FR30002055567435283091799";"FR";"30002";"05556";74352830917;99;"FR30002055567435283091799 CRLYFRPPXXX"
43;"CLEMENT Didier";75009;"44 RUE NOTRE DAME DE LORETTE  75009 PARIS";"CRLYFRPPXXX";"FR30002055579427103559799";"FR";"30002";"05557";94271035597;99;"FR30002055579427103559799 CRLYFRPPXXX"
44;"GAUTHIER Jean";75009;"44 RUE NOTRE DAME DE LORETTE  75009 PARIS";"CRLYFRPPXXX";"FR30002055576552003454899";"FR";"30002";"05557";65520034548;99;"FR30002055576552003454899 CRLYFRPPXXX"
45;"DUMONT Jacques";75008;"32, AV GEORGE V 32 AV GEORGE V 75008 PARIS";"BARCFRPPXXX";"FR24599000012400966976099";"FR";"24599";"00001";24009669760;99;"FR24599000012400966976099 BARCFRPPXXX"
46;"LOPEZ Christophe";75008;"32, AV GEORGE V 32 AV GEORGE V 75008 PARIS";"BARCFRPPXXX";"FR24599000018815741250299";"FR";"24599";"00001";88157412502;99;"FR24599000018815741250299 BARCFRPPXXX"
47;"FONTAINE Jean-Luc";75007;"65 AV DE SUFFREN  75007 PARIS";"CRLYFRPPXXX";"FR30002050232408101015599";"FR";"30002";"05023";24081010155;99;"FR30002050232408101015599 CRLYFRPPXXX"
48;"CHEVALIER François";75007;"65 AV DE SUFFREN  75007 PARIS";"CRLYFRPPXXX";"FR30002050232390787538899";"FR";"30002";"05023";23907875388;99;"FR30002050232390787538899 CRLYFRPPXXX"
49;"ROBIN René";75006;"113 BD DU MONTPARNASSE  75006 PARIS";"CRLYFRPPXXX";"FR30002050534820968001199";"FR";"30002";"05053";48209680011;99;"FR30002050534820968001199 CRLYFRPPXXX"
50;"MASSON Xavier";75006;"113 BD DU MONTPARNASSE  75006 PARIS";"CRLYFRPPXXX";"FR30002050536735166414399";"FR";"30002";"05053";67351664143;99;"FR30002050536735166414399 CRLYFRPPXXX"
51;"SANCHEZ Catherine";75006;"113 BD DU MONTPARNASSE  75006 PARIS";"CRLYFRPPXXX";"FR30002050531578705417699";"FR";"30002";"05053";15787054176;99;"FR30002050531578705417699 CRLYFRPPXXX"
52;"GERARD Fabrice";75005;"58 BD ST GERMAIN  75005 PARIS";"CRLYFRPPXXX";"FR30002051911547047517299";"FR";"30002";"05191";15470475172;99;"FR30002051911547047517299 CRLYFRPPXXX"
53;"NGUYEN Xavier";75005;"58 BD ST GERMAIN  75005 PARIS";"CRLYFRPPXXX";"FR30002051917279735484299";"FR";"30002";"05191";72797354842;99;"FR30002051917279735484299 CRLYFRPPXXX"
54;"BOYER Joël";75004;"18 RUE DE RIVOLI  75004 PARIS";"CRLYFRPPXXX";"FR30002050755057189701599";"FR";"30002";"05075";50571897015;99;"FR30002050755057189701599 CRLYFRPPXXX"
55;"DENIS Sandrine";75004;"18 RUE DE RIVOLI  75004 PARIS";"CRLYFRPPXXX";"FR30002050753200180523299";"FR";"30002";"05075";32001805232;99;"FR30002050753200180523299 CRLYFRPPXXX"
56;"LEMAIRE Emmanuel";75003;"90 RUE DE TURENNE  75003 PARIS";"CRLYFRPPXXX";"FR30002050741462446590699";"FR";"30002";"05074";14624465906;99;"FR30002050741462446590699 CRLYFRPPXXX"
57;"DUVAL Bertrand";75003;"90 RUE DE TURENNE  75003 PARIS";"CRLYFRPPXXX";"FR30002050748560070685499";"FR";"30002";"05074";85600706854;99;"FR30002050748560070685499 CRLYFRPPXXX"
58;"JOLY Herve";75002;"32 AV DE L OPERA  75002 PARIS";"CRLYFRPPXXX";"FR30002050803937258722299";"FR";"30002";"05080";39372587222;99;"FR30002050803937258722299 CRLYFRPPXXX"
59;"GAUTIER Fabrice";75002;"32 AV DE L OPERA  75002 PARIS";"CRLYFRPPXXX";"FR30002050803636032320099";"FR";"30002";"05080";36360323200;99;"FR30002050803636032320099 CRLYFRPPXXX"
60;"ROGER Jean Marc";13001;"25 RUE ST FERREOL  13001 MARSEILLE";"CRLYFRPPXXX";"FR30002053256686435282399";"FR";"30002";"05325";66864352823;99;"FR30002053256686435282399 CRLYFRPPXXX"
61;"ROCHE Dominique";13001;"25 RUE ST FERREOL  13001 MARSEILLE";"CRLYFRPPXXX";"FR30002053259913268874899";"FR";"30002";"05325";99132688748;99;"FR30002053259913268874899 CRLYFRPPXXX"
62;"ROY Thierry";13001;"25 RUE ST FERREOL  13001 MARSEILLE";"CRLYFRPPXXX";"FR30002053255865626723599";"FR";"30002";"05325";58656267235;99;"FR30002053255865626723599 CRLYFRPPXXX"
63;"EL-FASSI Meriem";13002;"1 3 5 RUE D ENCO DE BOTTE  13002 MARSEILLE";"BNPAFRPPXXX";"FR30004027898458725962499";"FR";"30004";"02789";84587259624;99;"FR30004027898458725962499 BNPAFRPPXXX"
64;"BOUBAKER Sara";13002;"1 3 5 RUE D ENCO DE BOTTE  13002 MARSEILLE";"BNPAFRPPXXX";"FR30004027891958970973599";"FR";"30004";"02789";19589709735;99;"FR30004027891958970973599 BNPAFRPPXXX"
65;"EL FASSI Adelkarim";13002;"1 3 5 RUE D ENCO DE BOTTE  13002 MARSEILLE";"BNPAFRPPXXX";"FR30004027891443110211299";"FR";"30004";"02789";14431102112;99;"FR30004027891443110211299 BNPAFRPPXXX"
66;"EL AABASSI Saïd";13003;"1 PL BERNARD CADENAT  13003 MARSEILLE";"BNPAFRPPXXX";"FR30004011251363957976199";"FR";"30004";"01125";13639579761;99;"FR30004011251363957976199 BNPAFRPPXXX"
67;"JEAN Guillaume";13003;"1 PL BERNARD CADENAT  13003 MARSEILLE";"BNPAFRPPXXX";"FR30004011257766657119099";"FR";"30004";"01125";77666571190;99;"FR30004011257766657119099 BNPAFRPPXXX"
68;"PEREZ Françoise";13003;"1 PL BERNARD CADENAT  13003 MARSEILLE";"BNPAFRPPXXX";"FR30004011251668854906099";"FR";"30004";"01125";16688549060;99;"FR30004011251668854906099 BNPAFRPPXXX"
69;"MARCHAND Laurent";13003;"1 PL BERNARD CADENAT  13003 MARSEILLE";"BNPAFRPPXXX";"FR30004011256105555393099";"FR";"30004";"01125";61055553930;99;"FR30004011256105555393099 BNPAFRPPXXX"
70;"DUFOUR Albert";13004;"39 AVENUE FOCH  13004 MARSEILLE";"NORDFRPPXXX";"FR30076022079280525340899";"FR";"30076";"02207";92805253408;99;"FR30076022079280525340899 NORDFRPPXXX"
71;"BLANCHARD Clément";13004;"39 AVENUE FOCH  13004 MARSEILLE";"NORDFRPPXXX";"FR30076022076545849519199";"FR";"30076";"02207";65458495191;99;"FR30076022076545849519199 NORDFRPPXXX"
72;"MARIE Julien";13004;"39 AVENUE FOCH  13004 MARSEILLE";"NORDFRPPXXX";"FR30076022078327828158399";"FR";"30076";"02207";83278281583;99;"FR30076022078327828158399 NORDFRPPXXX"
73;"BARBIER Sébastien";13006;"87 RUE PARADIS  13006 MARSEILLE";"CRLYFRPPXXX";"FR30002053268223368099499";"FR";"30002";"05326";82233680994;99;"FR30002053268223368099499 CRLYFRPPXXX"
74;"BRUN Laurence";13006;"87 RUE PARADIS  13006 MARSEILLE";"CRLYFRPPXXX";"FR30002053261013089079499";"FR";"30002";"05326";10130890794;99;"FR30002053261013089079499 CRLYFRPPXXX"
75;"DUMAS Estelle";13006;"87 RUE PARADIS  13006 MARSEILLE";"CRLYFRPPXXX";"FR30002053266793440688599";"FR";"30002";"05326";67934406885;99;"FR30002053266793440688599 CRLYFRPPXXX"
76;"BRUNET Laurent";13006;"87 RUE PARADIS  13006 MARSEILLE";"CRLYFRPPXXX";"FR30002053261886817180099";"FR";"30002";"05326";18868171800;99;"FR30002053261886817180099 CRLYFRPPXXX"
77;"SCHMITT Allan";13007;"112 BD DE LA CORDERIE  13007 MARSEILLE";"BNPAFRPPXXX";"FR30004012081403986964399";"FR";"30004";"01208";14039869643;99;"FR30004012081403986964399 BNPAFRPPXXX"
78;"LEROUX Franck";13007;"112 BD DE LA CORDERIE  13007 MARSEILLE";"BNPAFRPPXXX";"FR30004012081972719725299";"FR";"30004";"01208";19727197252;99;"FR30004012081972719725299 BNPAFRPPXXX"
79;"COLIN Arnaud";13007;"112 BD DE LA CORDERIE  13007 MARSEILLE";"BNPAFRPPXXX";"FR30004012087592447558899";"FR";"30004";"01208";75924475588;99;"FR30004012087592447558899 BNPAFRPPXXX"
80;"FERNANDEZ Pierre";33000;"13 COURS DE L INTENDANCE  33000 BORDEAUX";"CRLYFRPPXXX";"FR30002052148614359747299";"FR";"30002";"05214";86143597472;99;"FR30002052148614359747299 CRLYFRPPXXX"
81;"PIERRE Marie";33000;"13 COURS DE L INTENDANCE  33000 BORDEAUX";"CRLYFRPPXXX";"FR30002052145026071309199";"FR";"30002";"05214";50260713091;99;"FR30002052145026071309199 CRLYFRPPXXX"
82;"RENARD Baptiste";33000;"13 COURS DE L INTENDANCE  33000 BORDEAUX";"CRLYFRPPXXX";"FR30002052146577766894399";"FR";"30002";"05214";65777668943;99;"FR30002052146577766894399 CRLYFRPPXXX"
83;"ARNAUD Clothilde";33000;"13 COURS DE L INTENDANCE  33000 BORDEAUX";"CRLYFRPPXXX";"FR30002052145818724822299";"FR";"30002";"05214";58187248222;99;"FR30002052145818724822299 CRLYFRPPXXX"
84;"ROLLAND Garry";33000;"13 COURS DE L INTENDANCE  33000 BORDEAUX";"CRLYFRPPXXX";"FR30002052149335924670999";"FR";"30002";"05214";93359246709;99;"FR30002052149335924670999 CRLYFRPPXXX"
85;"CARON Simon";33000;"13 COURS DE L INTENDANCE  33000 BORDEAUX";"CRLYFRPPXXX";"FR30002052141036500638699";"FR";"30002";"05214";10365006386;99;"FR30002052141036500638699 CRLYFRPPXXX"
86;"AUBERT Luc";33000;"13 COURS DE L INTENDANCE  33000 BORDEAUX";"CRLYFRPPXXX";"FR30002052147001034369399";"FR";"30002";"05214";70010343693;99;"FR30002052147001034369399 CRLYFRPPXXX"
87;"GIRAUD Arnaud";31000;"18 PL DU PDT THOMAS WILSON  31000 TOULOUSE";"CRLYFRPPXXX";"FR30002054599157354507099";"FR";"30002";"05459";91573545070;99;"FR30002054599157354507099 CRLYFRPPXXX"
88;"LECLERC Alain";31000;"18 PL DU PDT THOMAS WILSON  31000 TOULOUSE";"CRLYFRPPXXX";"FR30002054593961994573999";"FR";"30002";"05459";39619945739;99;"FR30002054593961994573999 CRLYFRPPXXX"
89;"VIDAL Quentin";31000;"18 PL DU PDT THOMAS WILSON  31000 TOULOUSE";"CRLYFRPPXXX";"FR30002054596606655425299";"FR";"30002";"05459";66066554252;99;"FR30002054596606655425299 CRLYFRPPXXX"
90;"KOUMASSI Rahoua";31000;"18 PL DU PDT THOMAS WILSON  31000 TOULOUSE";"CRLYFRPPXXX";"FR30002054594360153099499";"FR";"30002";"05459";43601530994;99;"FR30002054594360153099499 CRLYFRPPXXX"
91;"RENAUD Mélanie";31000;"18 PL DU PDT THOMAS WILSON  31000 TOULOUSE";"CRLYFRPPXXX";"FR30002054595675081044799";"FR";"30002";"05459";56750810447;99;"FR30002054595675081044799 CRLYFRPPXXX"
92;"LEMOINE Julie";31000;"18 PL DU PDT THOMAS WILSON  31000 TOULOUSE";"CRLYFRPPXXX";"FR30002054596323529046899";"FR";"30002";"05459";63235290468;99;"FR30002054596323529046899 CRLYFRPPXXX"
93;"PICARD Anna";31000;"18 PL DU PDT THOMAS WILSON  31000 TOULOUSE";"CRLYFRPPXXX";"FR30002054591304554854199";"FR";"30002";"05459";13045548541;99;"FR30002054591304554854199 CRLYFRPPXXX"
94;"GAILLARD François";31000;"18 PL DU PDT THOMAS WILSON  31000 TOULOUSE";"CRLYFRPPXXX";"FR30002054592258346787699";"FR";"30002";"05459";22583467876;99;"FR30002054592258346787699 CRLYFRPPXXX"
95;"PHILIPPE Sophie";63000;"3-5 RUE PAUL DUEZ  59900 LILLE";"PSSTFRPPLIL";"FR20041010058059046633999";"FR";"20041";"01005";80590466339;99;"FR20041010058059046633999 PSSTFRPPLIL"
96;"LECLERCQ Geoffrey";63000;"3-5 RUE PAUL DUEZ  59900 LILLE";"PSSTFRPPLIL";"FR20041010051121162145799";"FR";"20041";"01005";11211621457;99;"FR20041010051121162145799 PSSTFRPPLIL"
97;"LACROIX Cédric";63000;"3-5 RUE PAUL DUEZ  59900 LILLE";"PSSTFRPPLIL";"FR20041010056031076348899";"FR";"20041";"01005";60310763488;99;"FR20041010056031076348899 PSSTFRPPLIL"
98;"FABRE Daniel";63000;"3-5 RUE PAUL DUEZ  59900 LILLE";"PSSTFRPPLIL";"FR20041010059151406236199";"FR";"20041";"01005";91514062361;99;"FR20041010059151406236199 PSSTFRPPLIL"
99;"DUPUIS Laurence";63000;"3-5 RUE PAUL DUEZ  59900 LILLE";"PSSTFRPPLIL";"FR20041010059922581346799";"FR";"20041";"01005";99225813467;99;"FR20041010059922581346799 PSSTFRPPLIL"
100;"OLIVIER Elise";63000;"3-5 RUE PAUL DUEZ  59900 LILLE";"PSSTFRPPLIL";"FR20041010056468229292199";"FR";"20041";"01005";64682292921;99;"FR20041010056468229292199 PSSTFRPPLIL"
101;"RODRIGUEZ Anna";59000;"28, PL RIHOUR 28 PL RIHOUR 59000 LILLE";"NORDFRPPXXX";"FR30076029928810265532999";"FR";"30076";"02992";88102655329;99;"FR30076029928810265532999 NORDFRPPXXX"
102;"DA SILVA Paul";59000;"28, PL RIHOUR 28 PL RIHOUR 59000 LILLE";"NORDFRPPXXX";"FR30076029922347571974299";"FR";"30076";"02992";23475719742;99;"FR30076029922347571974299 NORDFRPPXXX"
103;"HUBERT Laurent";59000;"28, PL RIHOUR 28 PL RIHOUR 59000 LILLE";"NORDFRPPXXX";"FR30076029927748020019599";"FR";"30076";"02992";77480200195;99;"FR30076029927748020019599 NORDFRPPXXX"
104;"LOUIS Noémie";59000;"28, PL RIHOUR 28 PL RIHOUR 59000 LILLE";"NORDFRPPXXX";"FR30076029923161054173499";"FR";"30076";"02992";31610541734;99;"FR30076029923161054173499 NORDFRPPXXX"
105;"ADJE Younès";59000;"28, PL RIHOUR 28 PL RIHOUR 59000 LILLE";"NORDFRPPXXX";"FR30076029921390307254699";"FR";"30076";"02992";13903072546;99;"FR30076029921390307254699 NORDFRPPXXX"
106;"KA Salima";59000;"28, PL RIHOUR 28 PL RIHOUR 59000 LILLE";"NORDFRPPXXX";"FR30076029926256908142299";"FR";"30076";"02992";62569081422;99;"FR30076029926256908142299 NORDFRPPXXX"
107;"RIVIERE Jean-Charles";59000;"28, PL RIHOUR 28 PL RIHOUR 59000 LILLE";"NORDFRPPXXX";"FR30076029929212786424799";"FR";"30076";"02992";92127864247;99;"FR30076029929212786424799 NORDFRPPXXX"
108;"LE GALL Marion";59000;"28, PL RIHOUR 28 PL RIHOUR 59000 LILLE";"NORDFRPPXXX";"FR30076029922217199416699";"FR";"30076";"02992";22171994166;99;"FR30076029922217199416699 NORDFRPPXXX"
109;"ABBOU Mustapha";59000;"28, PL RIHOUR 28 PL RIHOUR 59000 LILLE";"NORDFRPPXXX";"FR30076029929728963928399";"FR";"30076";"02992";97289639283;99;"FR30076029929728963928399 NORDFRPPXXX"
110;"ABBES Youssef";67000;"13 RUE DE LA MESANGE  67000 STRASBOURG";"CRLYFRPPXXX";"FR30002052854765356813199";"FR";"30002";"05285";47653568131;99;"FR30002052854765356813199 CRLYFRPPXXX"
111;"REY Pierre";67000;"13 RUE DE LA MESANGE  67000 STRASBOURG";"CRLYFRPPXXX";"FR30002052854810823128599";"FR";"30002";"05285";48108231285;99;"FR30002052854810823128599 CRLYFRPPXXX"
112;"MOULIN Robert";67000;"13 RUE DE LA MESANGE  67000 STRASBOURG";"CRLYFRPPXXX";"FR30002052852070477571099";"FR";"30002";"05285";20704775710;99;"FR30002052852070477571099 CRLYFRPPXXX"
113;"GONZALEZ Luca";67000;"13 RUE DE LA MESANGE  67000 STRASBOURG";"CRLYFRPPXXX";"FR30002052853598420095399";"FR";"30002";"05285";35984200953;99;"FR30002052853598420095399 CRLYFRPPXXX"
114;"BERGER Grégory";67000;"13 RUE DE LA MESANGE  67000 STRASBOURG";"CRLYFRPPXXX";"FR30002052857270972514099";"FR";"30002";"05285";72709725140;99;"FR30002052857270972514099 CRLYFRPPXXX"
115;"LECOMTE Arnaud";67000;"13 RUE DE LA MESANGE  67000 STRASBOURG";"CRLYFRPPXXX";"FR30002052851339290226199";"FR";"30002";"05285";13392902261;99;"FR30002052851339290226199 CRLYFRPPXXX"
116;"MENARD Fabrice";67000;"13 RUE DE LA MESANGE  67000 STRASBOURG";"CRLYFRPPXXX";"FR30002052856178901276299";"FR";"30002";"05285";61789012762;99;"FR30002052856178901276299 CRLYFRPPXXX"
117;"FLEURY Jean-Louis";6000;"191 RUE DE FRANCE  6000 NICE";"CRLYFRPPXXX";"FR30002053189598881094099";"FR";"30002";"05318";95988810940;99;"FR30002053189598881094099 CRLYFRPPXXX"
118;"DESCHAMPS Alexandre";6000;"191 RUE DE FRANCE  6000 NICE";"CRLYFRPPXXX";"FR30002053184118262335799";"FR";"30002";"05318";41182623357;99;"FR30002053184118262335799 CRLYFRPPXXX"
119;"CARPENTIER Elisa";6000;"191 RUE DE FRANCE  6000 NICE";"CRLYFRPPXXX";"FR30002053185860403229999";"FR";"30002";"05318";58604032299;99;"FR30002053185860403229999 CRLYFRPPXXX"
120;"ABBAS Mohamed";6000;"191 RUE DE FRANCE  6000 NICE";"CRLYFRPPXXX";"FR30002053181504157419599";"FR";"30002";"05318";15041574195;99;"FR30002053181504157419599 CRLYFRPPXXX"
121;"GUILLAUME Anne-Lise";6000;"191 RUE DE FRANCE  6000 NICE";"CRLYFRPPXXX";"FR30002053182298744184399";"FR";"30002";"05318";22987441843;99;"FR30002053182298744184399 CRLYFRPPXXX"
122;"ADAM Enzo";6000;"191 RUE DE FRANCE  6000 NICE";"CRLYFRPPXXX";"FR30002053183615313760199";"FR";"30002";"05318";36153137601;99;"FR30002053183615313760199 CRLYFRPPXXX"
123;"BA Anyssa";6000;"191 RUE DE FRANCE  6000 NICE";"CRLYFRPPXXX";"FR30002053187057911526799";"FR";"30002";"05318";70579115267;99;"FR30002053187057911526799 CRLYFRPPXXX"
