"importId";"titleSelect";"enterpriseName";"name";"firstName";"officeName";"jobTitle_fr";"jobTitle_en";"mobile";"department";"fax";"website";"email";"description_fr_FR";"description_en_EN";"contactDate";"statusSelect";"leadSource";"statusDescription";"leadSourceDescription";"campaign.id";"referredBy";"isDoNotCall";"userInfo";"team.id"
12;1;"BOWMAN Industries";"Thibaut";"MEYER";;"Chef de projet";"CEO";"06.82.61.92.99";;;;"t.meyer@bowman-industries.fr";;;41320;1;6;;;;;"false";27;2
13;1;"ILQ Industries";"Thomas";"GRAS";;"Chef de projet";"Owner";"06.61.68.27.99";;;;"t.gras@ilq-industries.fr";;;41324;3;8;;;;;"true";28;3
14;1;"K&J Web";"Alex";"JACQUOT";;"Consultant";"Project Manager";;;;;"a.jacquot@kj-web.fr";;;41328;7;5;;;;;"false";29;4
15;2;"M&N Industries";"Myriam";"RAULT";;"Consultant";"Purchasing Manager";;;;;"m.rault@mn-industries.fr";;;41332;7;1;;;;;"true";30;5
16;1;"MOSER Solutions";"Rémy";"GONÇALVES";;"Acheteur";"Purchasing Manager";;;;;"r.gonçalves@moser-solutions.fr";;;41336;7;6;;;;;"false";31;1
17;2;"WEBSTER International";"Jennifer";"COLLIN";;"Responsable Achats";"Consultant";;;;;"j.collin@webster-international.fr";;;41340;4;4;;;;;"true";32;2
18;1;"Z&C Industries";"Enzo";"LUCAS";;"Chef de projet";"Owner";"06.81.80.35.99";;;;"e.lucas@zc-industries.fr";;;41344;7;2;;;;;"false";33;3
19;1;"BALDWIN Industries";"Pierre";"GUYON";;"Consultant";"Project Manager";"06.92.70.37.99";;;;"p.guyon@baldwin-industries.fr";;;41348;2;1;;;;;"true";34;4
20;2;"PORTER Services";"Laetitia";"BLONDEL";;"PDG";"CEO";"07.67.55.99.99";;;;"l.blondel@porter-services.fr";;;41352;6;7;;;;;"false";35;5
21;2;"BRYANT International";"Julie";"CHARPENTIER";;"Acheteur";"Consultant";"07.77.80.55.99";;;;"j.charpentier@bryant-international.fr";;;41356;1;3;;;;;"true";36;1
22;2;"TAB Technologies";"Laurie";"GUILBERT";;"Gérant";"Consultant";"06.11.25.55.99";;;;"l.guilbert@tab-technologies.fr";;;41360;3;3;;;;;"false";37;2
23;2;"SHELTON Media";"Vanessa";"GOMEZ";;"Consultant";"Buyer";"06.87.86.36.99";;;;"v.gomez@shelton-media.fr";;;41364;4;2;;;;;"true";38;3
24;2;"NKJ Technologies";"Anna";"GOMES";;"Chef de projet";"Purchasing Manager";"06.97.57.49.99";;;;"a.gomes@nkj-technologies.fr";;;41368;5;4;;;;;"false";39;4
25;2;"O&D Web";"Gaëlle";"VIAL";;"PDG";"Consultant";"07.25.67.69.99";;;;"g.vial@od-web.fr";;;41372;7;9;;;;;"true";40;5
26;1;"S&S Conseil";"Maxence";"LE-GUEN";;"Gérant";"CEO";"07.20.25.91.99";;;;"m.le-guen@ss-conseil.fr";;;41376;3;3;;;;;"false";41;1
27;1;"CONNOLLY Solutions";"Gael";"BILLARD";;"PDG";"Purchasing Manager";;;;;"g.billard@connolly-solutions.fr";;;41380;2;8;;;;;"true";42;2
28;2;"GVS Services";"Amandine";"GUICHARD";;"Consultant";"Purchasing Manager";;;;;"a.guichard@gvs-services.fr";;;41384;7;3;;;;;"false";43;3
29;1;"E&U Systems";"Étienne";"POTTIER";;"Consultant";"CEO";"06.66.13.87.99";;;;"é.pottier@eu-systems.fr";;;41388;6;2;;;;;"true";44;4
30;1;"IYT Services";"Florent";"GAY";;"Chef de projet";"Consultant";"06.65.68.49.99";;;;"f.gay@iyt-services.fr";;;41392;6;3;;;;;"false";45;5
31;2;"U&M Media";"Amandine";"MAS";;"Responsable Achats";"CEO";"06.75.47.73.99";;;;"a.mas@um-media.fr";;;41396;3;3;;;;;"true";46;1
32;1;"JENSEN International";"Damien";"CHATELAIN";;"Consultant";"Owner";"06.76.94.95.99";;;;"d.chatelain@jensen-international.fr";;;41400;1;10;;;;;"false";47;2
33;2;"ROWE Services";"Anna";"FAVIER";;"PDG";"CEO";;;;;"a.favier@rowe-services.fr";;;41404;1;8;;;;;"true";48;3
34;1;"KAY Conseil";"Eric";"DUPUIS";;"Consultant";"Owner";;;;;"e.dupuis@kay-conseil.fr";;;41408;4;5;;;;;"false";49;4
35;2;"GRAY Technologies";"Sarah";"LE-GALL";;"Consultant";"Consultant";;;;;"s.le-gall@gray-technologies.fr";;;41412;7;2;;;;;"true";50;5
