"importId";"titleSelect";"enterpriseName";"name";"firstName";"officeName";"jobTitle_fr";"jobTitle_en";"mobilePhone";"fixedPhone";"department";"fax";"website";"primaryAddress";"primaryPostalCode";"primaryCity";"primaryCountry.code";"email";"description_fr_FR";"description_en_EN";"contactDate";"statusSelect";"source.importId";"statusDescription";"sourceDescription";"campaign.id";"referredBy";"isDoNotCall";"partner.importId";"userInfo.importId";"team.id"
22;2;"BRYANT International";"CHARPENTIER";"Julie";;"Acheteur";"Consultant";"+33(0)6.59.56.85.99";"04.47.76.24.99";;;;"30 AVENUE PAUL SANTY";69008;"LYON";"FRA";"j.charpentier@bryant-international.fr";;;"2013-10-13";1;3;;;;;"true";;16;2
23;2;"TAB Technologies";"GUILBERT";"Laurie";;"Gérant";"Consultant";"+33(0)6.30.39.14.99";;;;;"6 BD GAMBETTA";"06000";"NICE";"FRA";"l.guilbert@tab-technologies.fr";;;"2013-10-14";3;3;;;;;"false";;15;2
24;2;"SHELTON Media";"GOMEZ";"Vanessa";;"Consultant";"Buyer";"+33(0)7.45.54.63.99";"03.32.56.99.99";;;;"67 RUE DES POSTES";59000;"LILLE";"FRA";"v.gomez@shelton-media.fr";;;"2013-10-15";2;11;;;;;"true";;14;1
25;2;"NKJ Technologies";"GOMES";"Anna";;"Chef de projet";"Purchasing Manager";"+33(0)6.64.95.72.99";"05.18.91.12.99";;;;"33 RUE SAINT-GENES";33000;"BORDEAUX";"FRA";"a.gomes@nkj-technologies.fr";;;"2013-10-16";5;4;;;;;"false";;15;2
26;2;"O&D Web";"VIAL";"Gaëlle";;"PDG";"Consultant";"+33(0)6.34.27.36.99";"01.38.48.31.99";;;;"350 RUE DU MARECHAL JUIN";77000;"MELUN";"FRA";"g.vial@od-web.fr";;;"2013-10-17";1;9;;;;;"true";;17;3
27;1;"S&S Conseil";"LE-GUEN";"Maxence";;"Gérant";"CEO";"+33(0)6.54.31.19.99";"03.12.22.79.99";;;;"63 BD DE STRASBOURG";59000;"LILLE";"FRA";"m.le-guen@ss-conseil.fr";;;"2013-10-18";3;3;;;;;"false";;14;1
28;1;"CONNOLLY Solutions";"BILLARD";"Gael";;"PDG";"Purchasing Manager";"+33(0)7.19.47.71.99";"03.70.88.31.99";;;;"11 RUE DE L'ARBRISSEAU";59000;"LILLE";"FRA";"g.billard@connolly-solutions.fr";;;"2013-10-19";2;8;;;;;"true";;13;1
29;2;"GVS Services";"GUICHARD";"Amandine";;"Consultant";"Purchasing Manager";;;;;;"76 WARDOUR STREET";"W1D 6Q4";"LONDON";"GBR";"a.guichard@gvs-services.fr";;;"2013-10-20";1;3;;;;;"false";;17;3
30;1;"E&U Systems";"POTTIER";"John";;"Consultant";"CEO";;;;;;"1500 SOUTH BURNSIDE AVENUE";"CA 90019";"LOS ANGELES";"USA";"j.pottier@eu-systems.fr";;;"2013-10-21";6;10;;;;;"true";;17;3
31;1;"IYT Services";"GAY";"Florent";;"Chef de projet";"Consultant";"+33(0)6.70.60.31.99";"04.51.98.73.99";;;;"30 AVENUE PAUL SANTY";69008;"LYON";"FRA";"f.gay@iyt-services.fr";;;"2013-10-22";6;3;;;;;"false";;15;2
32;2;"U&M Media";"MAS";"Amandine";;"Responsable Achats";"CEO";"+33(0)6.84.61.64.99";"03.15.34.70.99";;;;"19 BD VICTOR HUGO";59000;"LILLE";"FRA";"a.mas@um-media.fr";;;"2013-10-23";3;3;;;;;"true";;13;1
33;1;"JENSEN International";"CHATELAIN";"Damien";;"Consultant";"Owner";"+33(0)6.15.41.96.99";;;;;"74 RUE BRUNET";13004;"MARSEILLE";"FRA";"d.chatelain@jensen-international.fr";;;"2013-10-24";1;10;;;;;"false";;16;2
34;2;"ROWE Services";"FAVIER";"Anna";;"PDG";"CEO";"+33(0)6.48.82.69.99";"04.74.93.41.99";;;;"88 BD ARISTIDE BRIAND";63000;"CLERMONT-FERRAND";"FRA";"a.favier@rowe-services.fr";;;"2013-10-25";1;8;;;;;"true";;16;2
35;1;"KAY Conseil";"DUPUIS";"Eric";;"Consultant";"Owner";;;;;;"9000 WEST OLYMPIC BD";"CA 90212";"LOS ANGELES";"USA";"e.dupuis@kay-conseil.fr";;;"2013-10-26";1;5;;;;;"false";;17;3
36;2;"GRAY Technologies";"LE-GALL";"Sarah";;"Consultant";"Consultant";;;;;;"81 STREDFORD ROAD";"M15 4ZY";"MANCHESTER";"GBR";"s.le-gall@gray-technologies.fr";;;"2013-10-27";1;10;;;;;"true";;17;3
