"importId";"partnerTypeSelect";"isContact";"isCustomer";"isSupplier";"isEmployee";"name";"firstName";"titleSelect";"languageCode";"address";"email";"fixedPhone";"mobilePhone";"invoiceSendingFormatSelect";"paymentMode.importId";"paymentCondition.importId";"partnerCategory.code";"currency.code";"blockingList.importId";"rejectCounter";"companySet_importId";"customerAccount_code";"supplierAccount_code";"mainPartner_importId";"customerTypeSelect";"supplierTypeSelect";"industrySector.importId";"user.importId";"team.importId";"source.id";"fiscalPosition.importId";"picture_fileName";"invoicesCopySelect";"registrationCode"
90002;2;"true";"false";"false";"true";"ROBERT";"Lucy";2;"fr";90000;"l.robert@axelor.com";"01.10.79.99.71";;;;;;;;;1;;;;;;;;;;;"img/partner/1012_128px.png";2;"786 763 250 35016"
90003;2;"true";"false";"false";"true";"RICHARD";"Lucas";1;"fr";90000;"l.richard@axelor.com";"01.10.79.99.72";;;;;;;;;1;;;;;;;;;;;"img/partner/1033_128px.png";1;"215 862 681 46860"
90004;2;"true";"false";"false";"true";"SILVA";"Daniel";1;"fr";90000;"d.silva@axelor.com";"01.10.79.99.76";;;;;;;;;1;;;;;;;;;;;"img/partner/1033_128px.png";2;"603 718 289 00979"
90005;2;"true";"false";"false";"true";"MARTIN";"Charles";1;"fr";90000;"c.martin@axelor.com";"01.10.79.99.78";;;;;;;;;1;;;;;;;;;;;"img/partner/1033_128px.png";1;"630 757 813 00690"
90006;2;"true";"false";"false";"true";"DEMOERP";"Kevin";1;"fr";90000;"k.demoerp@axelor.com";"01.10.79.99.76";;;;;;;;;1;;;;;;;;;;;"img/partner/1033_128px.png";2;"727 379 190 50757"
90007;2;"true";"false";"false";"true";"DEMOCRM";"Charles";1;"fr";90001;"c.democrm@axelor.com";"01.10.79.99.77";;;;;;;;;1;;;;;;;;;;;"img/partner/1033_128px.png";1;"523 311 413 08078"
90008;2;"true";"false";"false";"true";"RAYMOND";"Tony";1;"fr";90003;"t.raymond@axelor.com";"01.10.79.99.78";;;;;;;;;1;;;;;;;;;;;"img/partner/1033_128px.png";2;"570 123 315 02200"
90009;2;"true";"false";"false";"true";"LAMY";"Thomas";1;"fr";90002;"t.lamy@axelor.com";"01.10.79.99.79";;;;;;;;;1;;;;;;;;;;;"img/partner/1033_128px.png";1;"106 396 385 00614"
90010;2;"true";"false";"false";"true";"GIRAULT";"Anne";2;"fr";90004;"a.girault@axelor.com";"01.10.79.99.80";;;;;;;;;1;;;;;;;;;;;"img/partner/1012_128px.png";2;"121 692 339 00462"
90011;2;"true";"false";"false";"true";"GEOFFROY";"Dimitri";1;"fr";90000;"d.geoffroy@axelor.com";"01.10.79.99.81";;;;;;;;;1;;;;;;;;;;;"img/partner/1033_128px.png";1;"931 849 756 84291"
90012;2;"true";"false";"false";"true";"DAVID";"Alex";1;"fr";90000;"a.david@axelor.com";"01.10.79.99.82";;;;;;;;;1;;;;;;;;;;;"img/partner/1033_128px.png";2;"126 466 267 61098"
90013;2;"true";"false";"false";"true";"ANDRE";"William";1;"fr";90000;"w.andre@axelor.com";"01.10.79.99.83";;;;;;;;;1;;;;;;;;;;;"img/partner/1033_128px.png";1;"512 538 745 00013"
90014;2;"true";"false";"false";"true";"MAURIN";"David";1;"fr";90000;"d.maurin@axelor.com";"01.10.79.99.86";;;;;;;;;1;;;;;;;;;;;"img/partner/1033_128px.png";2;"810 650 333 90597"
90015;2;"true";"false";"false";"true";"MARCHAL";"Cyril";1;"fr";90000;"c.marchal@axelor.com";"01.10.79.99.87";;;;;;;;;1;;;;;;;;;;;"img/partner/1033_128px.png";1;"826 440 497 00053"
90016;2;"true";"false";"false";"true";"COSTA";"Robin";1;"fr";90000;"r.costa@axelor.com";"01.10.79.99.88";;;;;;;;;1;;;;;;;;;;;"img/partner/1033_128px.png";2;"274 779 974 85643"
90017;2;"true";"false";"false";"true";"COLIN";"Romane";2;"fr";90000;"r.colin@axelor.com";"01.10.79.99.89";;;;;;;;;1;;;;;;;;;;;"img/partner/1012_128px.png";1;"418 034 492 00078"
90018;2;"true";"false";"false";"true";"LOUIS";"Victoria";2;"fr";90000;"v.louis@axelor.com";"01.10.79.99.90";;;;;;;;;1;;;;;;;;;;;"img/partner/1012_128px.png";2;"935 535 419 02447"
90019;2;"true";"false";"false";"false";"Admin";;2;"fr";90000;;"01.10.79.99.90";;;;;;;;;1;;;;;;;;;;;"img/partner/1012_128px.png";2;"712 847 987 00278"
90020;2;"true";"false";"false";"false";"Demo";;2;"fr";90000;;"01.10.79.99.90";;;;;;;;;1;;;;;;;;;;;"img/partner/1012_128px.png";2;"454 137 738 84509"
90021;1;"false";"false";"false";"false";"IFactor";"IFactor";;"fr";90000;"info@ifactor.com";"01.10.79.99.91";;"emailpaper";8;6;"SME";"EUR";;;1;411100;401100;;3;1;22;11;2;7;;;;"881 645 204 00242"
